항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),"11,223.7","12,427.4","11,872.0","10,098.5","14,518.8"
*내수,"9,177.9",,"9,710.9","8,064.9",
*수출,"2,045.8",,"2,161.1","2,033.6",
매출원가,"10,154.4","11,383.2","10,796.2","8,931.3","13,310.2"
매출총이익,"1,069.3","1,044.2","1,075.9","1,167.2","1,208.6"
판매비와관리비,788.1,874.2,922.6,903.3,"1,003.8"
영업이익,281.2,170.0,153.3,263.9,204.8
*기타영업손익,,,,,
영업이익(발표기준),,170.0,153.3,263.9,204.8
*[구K-IFRS]영업이익,,,,,
금융수익,103.1,141.9,152.2,125.4,219.3
금융원가,54.8,86.3,117.4,98.0,184.4
기타영업외손익,19.8,-68.4,27.2,32.9,4.7
"종속기업,공동지배기업및관계기업관련손익",-2.0,-0.0,4.9,0.1,0.2
법인세비용차감전계속사업이익,347.3,157.2,220.2,324.3,244.6
법인세비용,80.3,71.8,59.8,73.9,27.9
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,267.0,85.4,160.4,250.4,216.7
중단사업이익,,-1.9,,,
*중단사업법인세효과,,,,,
당기순이익,267.0,83.5,160.4,250.4,216.7
기타포괄이익,-11.4,-10.8,-43.7,-32.1,-33.4
총포괄이익,255.7,72.7,116.7,218.4,183.2
*주당계속사업이익,560,178,335,522,452
*주당순이익,560,175,335,522,452
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,560,178,335,522,452
*(지배주주지분)주당순이익,560,175,335,522,452
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
