항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),599.5,605.1,709.0,736.5,846.0,14.9
*내수,599.5,,706.1,733.1,,
*수출,,,2.9,3.5,,
매출원가,462.8,455.9,561.1,556.6,669.9,20.4
매출총이익,136.7,149.2,147.9,179.9,176.1,-2.1
판매비와관리비,120.5,130.2,138.2,141.7,145.3,2.5
영업이익,16.1,18.9,9.7,38.2,30.8,-19.4
*기타영업손익,,,,,,
영업이익(발표기준),16.1,18.9,9.7,38.2,30.8,-19.4
*[구K-IFRS]영업이익,,,,,,
금융수익,11.0,4.9,5.4,9.8,3.4,-65.3
금융원가,14.6,16.4,19.3,12.2,18.2,49.2
기타영업외손익,-0.3,1.1,4.8,-11.3,5.0,144.5
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,12.3,8.5,0.7,24.5,21.0,-14.3
법인세비용,1.7,5.2,1.9,-5.5,2.5,146.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,10.5,3.3,-1.3,30.0,18.5,-38.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,10.5,3.3,-1.3,30.0,18.5,-38.4
기타포괄이익,-1.3,-2.9,-1.6,2.4,2.0,-13.8
총포괄이익,9.2,0.3,-2.9,32.4,20.5,-36.6
*주당계속사업이익,231,64,-25,579,357,-38
*주당순이익,231,64,-25,579,357,-38
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,231,64,-25,579,357,-38
*(지배주주지분)주당순이익,231,64,-25,579,357,-38
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
