항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"1,393.3","1,528.3","1,663.5","1,773.1","1,964.1","2,207.0",10.8,12.4
*내수,,"1,522.8","1,659.7","1,770.0",,,,
*수출,,5.6,3.7,3.0,,,,
매출원가,449.5,509.3,561.5,632.8,655.9,,3.6,
매출총이익,943.8,"1,019.1","1,102.0","1,140.2","1,308.2","1,472.0",14.7,12.5
판매비와관리비,624.5,683.4,766.3,823.5,948.1,,15.1,
영업이익,319.3,335.6,335.7,316.8,360.1,440.0,13.7,22.2
*기타영업손익,,,,,,,,
영업이익(발표기준),,335.6,335.7,316.8,360.1,,13.7,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,2.0,4.7,22.9,12.7,12.0,,-5.4,
금융원가,10.8,3.7,1.9,1.3,2.0,,51.5,
기타영업외손익,-0.9,-13.3,-8.1,-43.1,-11.6,,73.2,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,309.6,323.3,348.6,285.0,358.5,443.0,25.8,23.6
법인세비용,66.6,61.6,65.6,136.0,78.3,,-42.4,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,243.0,261.7,283.0,148.9,280.1,,88.1,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,243.0,261.7,283.0,148.9,280.1,346.0,88.1,23.5
기타포괄이익,2.8,-3.1,-5.0,43.9,-4.1,,-109.3,
총포괄이익,245.8,258.6,278.1,192.9,276.1,,43.1,
*주당계속사업이익,"2,243","1,974","1,778",947,"1,679",,77,
*주당순이익,"2,243","1,974","1,778",947,"1,679",,77,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"2,243","1,974","1,778",947,"1,679",,77,
*(지배주주지분)주당순이익,"2,243","1,974","1,778",947,"1,679","1,947",77,16
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
