항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,619.6","1,310.0","1,263.1","1,320.8","1,367.0",3.5
*내수,"1,619.6",,"1,262.0","1,318.3",,
*수출,,,1.1,2.4,,
매출원가,"1,496.8","1,443.8","1,244.3","1,230.1","1,263.3",2.7
매출총이익,122.8,-133.8,18.8,90.6,103.7,14.4
판매비와관리비,112.0,86.9,65.4,50.5,60.3,19.6
영업이익,10.7,-220.8,-46.6,40.2,43.3,7.9
*기타영업손익,,,,,,
영업이익(발표기준),,-220.8,-46.6,40.2,43.3,7.9
*[구K-IFRS]영업이익,,,,,,
금융수익,5.4,3.3,6.5,33.7,8.7,-74.3
금융원가,23.4,16.0,22.0,8.7,6.1,-29.6
기타영업외손익,-11.1,-94.8,-41.8,-1.5,0.5,134.4
"종속기업,공동지배기업및관계기업관련손익",35.5,-15.4,1.3,-1.1,24.7,"2,321.2"
법인세비용차감전계속사업이익,17.1,-343.8,-102.5,62.6,71.1,13.7
법인세비용,-20.6,10.2,1.1,-8.8,32.3,469.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,37.7,-353.9,-103.6,71.3,38.7,-45.7
중단사업이익,,-1.6,-1.2,,,
*중단사업법인세효과,,,,,,
당기순이익,37.7,-355.5,-104.9,71.3,38.7,-45.7
기타포괄이익,22.8,-28.9,-17.2,71.0,-71.5,-200.7
총포괄이익,60.5,-384.4,-122.1,142.3,-32.8,-123.0
*주당계속사업이익,78,-721,,151,81,-46
*주당순이익,78,-725,-225,151,81,-46
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,78,-721,,151,81,-46
*(지배주주지분)주당순이익,78,-725,-225,151,81,-46
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
