항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,433.9","1,356.1","1,470.6","1,463.3","1,381.4",-5.6
*내수,"1,427.0","1,336.1","1,425.3","1,453.8",,
*수출,6.9,20.1,45.3,9.5,,
매출원가,"1,272.8","1,314.7","1,322.4","1,240.8","1,275.1",2.8
매출총이익,161.1,41.4,148.3,222.5,106.3,-52.2
판매비와관리비,84.6,84.4,81.2,86.9,92.8,6.8
영업이익,76.5,-42.9,67.0,135.6,13.4,-90.1
*기타영업손익,,,,,,
영업이익(발표기준),76.5,-42.9,67.0,135.6,13.4,-90.1
*[구K-IFRS]영업이익,,,,,,
금융수익,63.3,55.6,61.0,232.6,199.1,-14.4
금융원가,6.7,22.2,50.0,23.0,139.0,503.6
기타영업외손익,0.6,6.8,-16.5,-0.5,23.7,"5,019.1"
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,133.6,-2.7,61.6,344.7,97.2,-71.8
법인세비용,29.4,-0.9,14.8,76.1,21.1,-72.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,104.3,-1.7,46.7,268.6,76.1,-71.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,104.3,-1.7,46.7,268.6,76.1,-71.7
기타포괄이익,-7.0,-3.8,-3.9,-5.1,-3.6,29.6
총포괄이익,97.3,-5.5,42.8,263.5,72.6,-72.5
*주당계속사업이익,"4,172",-70,"1,868","10,743","3,046",-72
*주당순이익,"4,172",-70,"1,868","10,743","3,046",-72
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"4,172",-70,"1,868","10,743","3,046",-72
*(지배주주지분)주당순이익,"4,172",-70,"1,868","10,743","3,046",-72
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
