항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"33,873.9","40,585.3","38,894.0","28,150.2","38,490.4",36.7
*내수,"4,835.4","4,722.5","4,875.5","4,416.7",,
*수출,"28,533.9","35,344.7","33,478.7","23,179.5",,
매출원가,"32,473.8","39,198.0","37,414.2","26,927.7","37,139.9",37.9
매출총이익,"1,400.1","1,387.3","1,479.8","1,222.5","1,350.5",10.5
판매비와관리비,919.8,826.0,897.0,899.5,962.0,7.0
영업이익,480.2,561.3,582.8,323.0,388.5,20.3
*기타영업손익,,,,,,
영업이익(발표기준),480.2,561.3,582.8,323.0,388.5,20.3
*[구K-IFRS]영업이익,,,,,,
금융수익,66.1,49.4,13.9,13.8,86.7,530.3
금융원가,213.2,251.1,223.0,164.3,152.8,-7.0
기타영업외손익,-123.8,-48.0,-430.4,-858.9,-92.5,89.2
"종속기업,공동지배기업및관계기업관련손익",4.6,-8.1,-4.7,-9.3,34.0,466.4
법인세비용차감전계속사업이익,213.9,303.5,-61.5,-695.8,263.7,137.9
법인세비용,-11.0,92.9,105.1,125.6,43.5,-65.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,225.0,210.6,-166.6,-821.4,220.3,126.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,225.0,210.6,-166.6,-821.4,220.3,126.8
기타포괄이익,41.2,-35.7,-44.2,12.7,216.1,"1,597.9"
총포괄이익,266.1,174.9,-210.8,-808.7,436.4,154.0
*주당계속사업이익,257,249,-207,-974,283,129
*주당순이익,257,249,-207,-974,283,129
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,257,249,-207,-974,283,129
*(지배주주지분)주당순이익,257,249,-207,-974,283,129
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
