항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,368.6","1,713.2","1,911.2","1,970.1","2,529.7",28.4
*내수,675.1,912.3,"1,139.1","1,074.8",,
*수출,693.5,800.9,772.1,895.4,,
매출원가,"1,257.1","1,555.2","1,726.7","1,773.7","2,224.4",25.4
매출총이익,111.5,158.0,184.6,196.4,305.3,55.4
판매비와관리비,76.9,102.7,120.1,122.6,150.8,23.0
영업이익,34.6,55.3,64.4,73.8,154.5,109.3
*기타영업손익,,,,,,
영업이익(발표기준),34.6,55.3,64.4,73.8,154.5,109.3
*[구K-IFRS]영업이익,,,,,,
금융수익,0.7,1.4,1.6,1.1,0.5,-56.5
금융원가,22.8,25.2,21.4,18.9,18.0,-5.0
기타영업외손익,-8.7,4.0,19.1,-14.5,10.7,173.9
"종속기업,공동지배기업및관계기업관련손익",-1.2,0.1,0.3,2.2,2.1,-5.0
법인세비용차감전계속사업이익,2.7,35.5,64.1,43.7,149.8,243.0
법인세비용,1.4,7.9,14.6,8.6,28.3,230.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,1.2,27.7,49.5,35.1,121.5,246.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,1.2,27.7,49.5,35.1,121.5,246.1
기타포괄이익,-0.1,-7.7,-6.8,-7.4,5.8,178.9
총포괄이익,1.1,20.0,42.7,27.8,127.3,358.7
*주당계속사업이익,11,252,450,319,"1,105",246
*주당순이익,11,252,450,319,"1,105",246
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,11,252,450,319,"1,105",246
*(지배주주지분)주당순이익,11,252,450,319,"1,105",246
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
