항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),552.5,564.7,596.3,311.6,293.4,-5.8
*내수,552.5,,596.3,311.6,,
*수출,,,,,,
매출원가,481.8,498.4,514.2,348.8,335.5,-3.8
매출총이익,70.6,66.3,82.1,-37.2,-42.1,-13.3
판매비와관리비,90.8,88.8,76.5,62.8,56.3,-10.3
영업이익,-20.1,-22.5,5.6,-100.0,-98.4,1.5
*기타영업손익,,,,,,
영업이익(발표기준),-20.1,-22.5,5.6,-100.0,-98.4,1.5
*[구K-IFRS]영업이익,,,,,,
금융수익,1.2,0.7,0.4,5.3,5.3,-0.1
금융원가,,0.0,3.0,4.8,3.8,-21.0
기타영업외손익,367.6,18.6,5.2,8.0,96.0,"1,092.5"
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,348.7,-3.2,8.3,-91.3,-0.9,99.0
법인세비용,77.7,-1.1,1.0,-23.7,4.8,120.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,271.0,-2.1,7.2,-67.6,-5.7,91.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,271.0,-2.1,7.2,-67.6,-5.7,91.6
기타포괄이익,15.9,18.1,-16.1,-44.7,14.1,131.6
총포괄이익,286.9,16.0,-8.9,-112.3,8.4,107.5
*주당계속사업이익,"18,993",-146,506,"-4,739",-398,92
*주당순이익,"18,993",-146,506,"-4,739",-398,92
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"18,993",-146,506,"-4,739",-398,92
*(지배주주지분)주당순이익,"18,993",-146,506,"-4,739",-398,92
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
