항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,775.7","2,025.0","2,312.4","2,261.8","3,240.0",43.3
*내수,11.9,12.3,11.2,10.9,,
*수출,"1,763.8","2,012.8","2,301.2","2,250.9",,
매출원가,"1,222.5","1,456.7","1,677.0","1,639.9","2,518.2",53.5
매출총이익,553.1,568.3,635.4,621.9,721.8,16.1
판매비와관리비,102.4,100.1,107.7,114.6,140.9,23.0
영업이익,450.7,468.2,527.7,507.3,580.9,14.5
*기타영업손익,,,,,,
영업이익(발표기준),450.7,468.2,527.7,507.3,580.9,14.5
*[구K-IFRS]영업이익,,,,,,
금융수익,2.5,4.1,4.0,1.6,0.5,-67.1
금융원가,169.2,247.0,251.8,165.5,190.7,15.2
기타영업외손익,-27.6,-18.1,-42.7,-207.0,180.7,187.3
"종속기업,공동지배기업및관계기업관련손익",0.3,0.2,-0.2,-0.9,1.1,221.4
법인세비용차감전계속사업이익,256.8,207.4,237.1,135.5,572.6,322.5
법인세비용,-0.1,1.6,2.8,4.2,11.9,181.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,256.9,205.8,234.4,131.3,560.7,327.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,256.9,205.8,234.4,131.3,560.7,327.1
기타포괄이익,-281.3,88.8,110.8,-192.1,246.4,228.3
총포괄이익,-24.4,294.6,345.2,-60.8,807.1,"1,427.5"
*주당계속사업이익,"1,120",905,"1,042",584,"2,497",328
*주당순이익,"1,120",905,"1,042",584,"2,497",328
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,120",905,"1,042",584,"2,497",328
*(지배주주지분)주당순이익,"1,120",905,"1,042",584,"2,497",328
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
