항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"2,536.6","2,541.2","2,318.7","2,424.0","2,862.2",18.1
*내수,"1,316.6",,"1,088.9","1,147.3",,
*수출,"1,220.0",,"1,229.8","1,276.7",,
매출원가,"2,403.9","2,427.0","2,162.4","2,192.0","2,543.3",16.0
매출총이익,132.6,114.2,156.3,232.0,319.0,37.5
판매비와관리비,97.3,80.5,78.2,84.9,110.4,30.0
영업이익,35.3,33.6,78.1,147.1,208.5,41.8
*기타영업손익,,,,,,
영업이익(발표기준),35.3,33.6,78.1,147.1,208.5,41.8
*[구K-IFRS]영업이익,,,,,,
금융수익,17.6,11.8,12.5,20.8,25.7,23.6
금융원가,25.0,20.3,25.0,38.9,14.3,-63.2
기타영업외손익,0.6,1.5,1.3,-2.1,-1.2,42.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,28.6,26.7,66.9,126.8,218.6,72.4
법인세비용,3.4,1.5,11.1,23.4,59.3,153.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,25.2,25.1,55.8,103.4,159.3,54.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,25.2,25.1,55.8,103.4,159.3,54.0
기타포괄이익,-0.8,0.2,-11.9,-3.4,-8.7,-158.5
총포괄이익,24.4,25.3,43.9,100.0,150.5,50.5
*주당계속사업이익,126,106,236,442,683,55
*주당순이익,126,106,236,442,683,55
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,126,106,236,442,683,55
*(지배주주지분)주당순이익,126,106,236,442,683,55
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
