항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,721.8","1,163.0","2,834.2","1,617.3","1,636.9",1.2
*내수,"1,721.8",,"2,834.2","1,616.9",,
*수출,,,,,,
매출원가,"1,533.2","1,045.0","2,551.6","1,487.0","1,540.7",3.6
매출총이익,188.5,117.9,282.6,130.3,96.1,-26.2
판매비와관리비,87.6,77.4,134.2,102.1,126.3,23.7
영업이익,100.9,40.5,148.5,28.2,-30.1,-206.8
*기타영업손익,,,,,,
영업이익(발표기준),100.9,40.5,148.5,28.2,-30.1,-206.8
*[구K-IFRS]영업이익,,,,,,
금융수익,4.7,10.5,18.3,86.5,8.4,-90.3
금융원가,23.1,18.0,29.8,23.2,17.3,-25.5
기타영업외손익,1.4,8.5,8.4,6.1,0.8,-86.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,83.9,41.5,145.4,97.6,-38.2,-139.1
법인세비용,-0.4,24.1,10.5,5.6,-8.0,-243.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,84.4,17.4,134.9,92.0,-30.2,-132.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,84.4,17.4,134.9,92.0,-30.2,-132.8
기타포괄이익,1.6,-3.9,-10.2,37.4,199.5,433.6
총포괄이익,86.0,13.5,124.8,129.4,169.3,30.9
*주당계속사업이익,190,39,305,208,-68,-133
*주당순이익,190,39,305,208,-68,-133
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,190,39,305,208,-68,-133
*(지배주주지분)주당순이익,190,39,305,208,-68,-133
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
