항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"1,479.5","1,546.6","1,591.8","1,717.1","1,777.8","1,870.0",3.5,5.2
*내수,"1,478.0",,,,,,,
*수출,1.6,,,,,,,
매출원가,691.1,753.6,800.0,851.0,842.8,,-1.0,
매출총이익,788.5,793.0,791.8,866.0,934.9,875.0,8.0,-6.4
판매비와관리비,491.9,519.6,530.2,581.8,622.2,,6.9,
영업이익,296.5,273.4,261.6,284.2,312.8,220.0,10.1,-29.7
*기타영업손익,,,,,,,,
영업이익(발표기준),296.5,273.4,261.6,284.2,312.8,,10.1,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,21.8,21.9,21.2,16.8,21.6,,29.0,
금융원가,0.2,,0.2,2.4,0.9,,-63.2,
기타영업외손익,46.7,-2.1,-0.4,12.6,5.9,,-52.8,
"종속기업,공동지배기업및관계기업관련손익",,,,-0.3,-0.6,,-94.9,
법인세비용차감전계속사업이익,364.7,293.2,282.2,310.8,338.8,248.0,9.0,-26.8
법인세비용,93.0,78.0,96.1,78.9,74.2,,-5.9,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,271.7,215.2,186.1,231.9,264.6,,14.1,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,271.7,215.2,186.1,231.9,264.6,193.0,14.1,-27.1
기타포괄이익,-4.0,-1.2,0.8,35.3,-12.5,,-135.6,
총포괄이익,267.7,214.0,186.9,267.2,252.0,,-5.7,
*주당계속사업이익,"1,780","1,409","1,225","1,532","1,746",,14,
*주당순이익,"1,780","1,409","1,225","1,532","1,746",,14,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"1,780","1,409","1,225","1,532","1,746",,14,
*(지배주주지분)주당순이익,"1,780","1,409","1,225","1,532","1,746","1,038",14,-41
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
