항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),994.0,"1,839.4","2,256.1","9,290.0","11,849.1",311.8,27.6
*내수,,,"2,005.8",,,,
*수출,,,250.4,,,,
매출원가,489.6,"1,060.8","1,302.7","3,587.2",,175.4,
매출총이익,504.5,778.6,953.4,"5,702.8","6,704.0",498.1,17.6
판매비와관리비,240.1,550.6,576.3,960.6,,66.7,
영업이익,264.4,228.0,377.1,"4,742.2","5,613.7","1,157.5",18.4
*기타영업손익,,,,,,,
영업이익(발표기준),264.4,228.0,377.1,"4,742.2",,"1,157.5",
*[구K-IFRS]영업이익,,,,,,,
금융수익,13.0,51.8,79.0,262.4,,232.0,
금융원가,28.1,77.1,101.5,316.4,,211.6,
기타영업외손익,-128.4,-17.9,18.3,23.1,,26.0,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,
법인세비용차감전계속사업이익,120.9,184.9,372.9,"4,711.3","5,673.4","1,163.3",20.4
법인세비용,31.6,38.1,44.0,"1,159.9",,"2,534.0",
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,89.3,146.8,328.9,"3,551.4",,979.8,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,89.3,146.8,328.9,"3,551.4","4,473.9",979.8,26.0
기타포괄이익,-1.7,-14.9,-21.1,-18.1,,14.0,
총포괄이익,87.6,131.9,307.8,"3,533.3",,"1,047.8",
*주당계속사업이익,"4,456","7,195",537,"4,844",,802,
*주당순이익,"4,456","7,195",537,"4,844",,802,
*희석주당계속사업이익,,,533,"4,810",,802,
*희석주당순이익,,,533,"4,810",,802,
*(지배주주지분)주당계속사업이익,"4,456","7,195",537,"4,844",,802,
*(지배주주지분)주당순이익,"4,456","7,195",537,"4,844","5,832",802,20
*(지배주주지분)희석주당계속사업이익,,,533,"4,810",,802,
*(지배주주지분)희석주당순이익,,,533,"4,810",,802,
