항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),252.0,283.5,324.8,377.5,508.9,34.8
*내수,,201.6,233.0,180.0,,
*수출,,81.9,91.8,197.5,,
매출원가,171.3,165.5,194.5,199.7,274.4,37.4
매출총이익,80.7,118.0,130.3,177.8,234.6,31.9
판매비와관리비,126.3,115.4,110.7,105.5,158.4,50.3
영업이익,-45.6,2.6,19.6,72.3,76.1,5.2
*기타영업손익,,,,,,
영업이익(발표기준),-45.6,2.6,19.6,72.3,76.1,5.2
*[구K-IFRS]영업이익,,,,,,
금융수익,1.8,1.6,2.2,1.7,21.1,"1,168.7"
금융원가,,0.6,1.0,0.8,16.8,"1,882.4"
기타영업외손익,-175.8,-130.5,3.6,-20.7,14.8,171.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-219.6,-126.8,24.4,52.4,95.1,81.5
법인세비용,,,-19.0,,,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-219.6,-126.8,43.5,52.4,95.1,81.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-219.6,-126.8,43.5,52.4,95.1,81.5
기타포괄이익,4.9,-5.0,-3.2,3.4,-12.7,-467.5
총포괄이익,-214.7,-131.8,40.3,55.9,82.5,47.6
*주당계속사업이익,-376,-214,73,87,159,83
*주당순이익,-376,-214,73,87,159,83
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-376,-214,73,87,159,83
*(지배주주지분)주당순이익,-376,-214,73,87,159,83
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
