항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비
매출액(수익),"2,209.4","2,056.4","1,955.1","1,860.7","2,266.1","2,567.0",13.3
*내수,"2,209.4",,"1,955.1","1,860.7",,,
*수출,,,,,,,
매출원가,"1,809.1","1,796.1","1,708.9","1,614.2","1,887.7",,
매출총이익,400.3,260.3,246.2,246.5,378.3,423.0,11.8
판매비와관리비,271.0,223.0,210.5,249.1,242.6,,
영업이익,129.3,37.3,35.8,-2.6,135.8,158.0,16.4
*기타영업손익,,,,,,,
영업이익(발표기준),129.3,37.3,35.8,-2.6,135.8,,
*[구K-IFRS]영업이익,,,,,,,
금융수익,9.7,11.9,14.0,4.2,3.6,,
금융원가,2.8,3.1,2.6,1.6,1.4,,
기타영업외손익,-88.9,-130.0,-15.9,-9.8,-131.4,,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,
법인세비용차감전계속사업이익,47.2,-83.9,31.2,-9.8,6.6,164.0,"2,403.3"
법인세비용,3.2,-10.3,4.4,0.5,37.2,,
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,44.0,-73.6,26.8,-10.4,-30.6,,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,44.0,-73.6,26.8,-10.4,-30.6,132.0,530.9
기타포괄이익,0.2,-4.8,-4.1,1.1,2.6,,
총포괄이익,44.2,-78.4,22.7,-9.3,-28.1,,
*주당계속사업이익,346,-578,211,-81,-253,,
*주당순이익,346,-578,211,-81,-253,,
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,346,-578,211,-81,-253,,
*(지배주주지분)주당순이익,346,-578,211,-81,-253,"1,092",532
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
