항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,560.3","1,594.1","1,625.5","1,526.8","2,048.7",34.2
*내수,"1,560.3",,"1,625.5","1,526.8",,
*수출,,,,,,
매출원가,"1,423.8","1,498.5","1,531.5","1,432.9","1,774.6",23.9
매출총이익,136.5,95.6,94.0,93.8,274.1,192.1
판매비와관리비,71.7,62.7,68.0,65.9,66.3,0.6
영업이익,64.8,32.8,26.0,28.0,207.8,642.6
*기타영업손익,,,,,,
영업이익(발표기준),64.8,32.8,26.0,28.0,207.8,642.6
*[구K-IFRS]영업이익,,,,,,
금융수익,7.5,4.6,12.9,30.6,32.7,7.0
금융원가,7.6,12.3,19.8,24.4,39.3,60.8
기타영업외손익,0.2,0.8,0.4,-1.8,0.7,136.7
"종속기업,공동지배기업및관계기업관련손익",48.5,41.3,10.2,70.0,116.5,66.5
법인세비용차감전계속사업이익,113.3,67.2,29.7,102.3,318.5,211.4
법인세비용,12.0,17.4,5.9,16.2,64.7,300.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,101.3,49.8,23.7,86.1,253.8,194.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,101.3,49.8,23.7,86.1,253.8,194.7
기타포괄이익,7.3,-5.3,-0.6,0.4,-6.1,"-1,489.8"
총포괄이익,108.6,44.5,23.2,86.6,247.6,186.1
*주당계속사업이익,557,262,121,440,"1,295",194
*주당순이익,557,262,121,440,"1,295",194
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,557,262,121,440,"1,295",194
*(지배주주지분)주당순이익,557,262,121,440,"1,295",194
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
