항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,전년대비
매출액(수익),"1,436.2","1,251.7","2,388.2","2,386.3","3,825.0",60.3
*내수,"1,421.6",,"2,375.3","2,385.4",,
*수출,14.7,,12.9,0.9,,
매출원가,"1,284.4","1,071.1","2,087.8","2,066.6","3,204.8",55.1
매출총이익,151.8,180.6,300.4,319.7,620.2,94.0
판매비와관리비,130.5,149.0,269.9,302.3,447.2,48.0
영업이익,21.3,31.6,30.5,17.4,173.0,891.8
*기타영업손익,,,,,,
영업이익(발표기준),,31.6,30.5,17.4,173.0,891.8
*[구K-IFRS]영업이익,,,,,,
금융수익,20.0,28.8,15.6,21.8,10.9,-49.9
금융원가,38.4,11.8,7.7,12.3,28.7,132.8
기타영업외손익,2.2,13.6,8.4,5.6,-60.9,"-1,189.0"
"종속기업,공동지배기업및관계기업관련손익",-1.2,9.4,-31.6,-40.3,-21.5,46.6
법인세비용차감전계속사업이익,3.8,71.6,15.2,-7.8,72.8,"1,033.2"
법인세비용,-4.8,6.0,4.7,0.8,26.3,"3,087.2"
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,8.7,65.5,10.5,-8.6,46.6,639.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,8.7,65.5,10.5,-8.6,46.6,639.6
기타포괄이익,3.7,-11.2,-14.8,5.9,29.7,401.9
총포괄이익,12.3,54.4,-4.4,-2.7,76.3,"2,917.6"
*주당계속사업이익,27,150,20,-10,28,380
*주당순이익,27,150,20,-10,28,380
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,27,150,20,-10,28,380
*(지배주주지분)주당순이익,27,150,20,-10,28,380
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
