항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,742.9","1,276.7","1,082.4",973.2,"1,042.5",7.1
*내수,"1,010.8",,599.4,763.8,,
*수출,732.2,,483.0,209.3,,
매출원가,"1,399.9","1,050.5",823.8,713.5,817.5,14.6
매출총이익,343.1,226.2,258.6,259.6,225.0,-13.3
판매비와관리비,97.5,76.4,100.1,108.5,115.5,6.5
영업이익,245.6,149.8,158.5,151.2,109.5,-27.6
*기타영업손익,,,,,,
영업이익(발표기준),,149.8,158.5,151.2,109.5,-27.6
*[구K-IFRS]영업이익,,,,,,
금융수익,36.9,9.7,13.6,13.1,14.6,10.9
금융원가,5.0,0.1,0.1,0.1,5.8,"3,961.3"
기타영업외손익,15.5,20.6,19.8,94.1,26.8,-71.6
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,293.0,180.0,191.7,258.3,145.1,-43.8
법인세비용,72.8,43.5,46.7,61.8,33.0,-46.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,220.2,136.5,145.0,196.5,112.0,-43.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,220.2,136.5,145.0,196.5,112.0,-43.0
기타포괄이익,19.5,-21.6,246.0,202.1,519.7,157.1
총포괄이익,239.7,114.9,391.0,398.6,631.7,58.5
*주당계속사업이익,"6,005","3,799","4,076","5,532","3,153",-43
*주당순이익,"6,005","3,799","4,076","5,532","3,153",-43
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"6,005","3,799","4,076","5,532","3,153",-43
*(지배주주지분)주당순이익,"6,005","3,799","4,076","5,532","3,153",-43
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
