항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
순이자이익,87.3,78.0,70.3,79.5,83.4,4.9
순수수료이익,21.6,15.9,11.9,18.9,23.2,23.1
금융상품관련이익,24.6,8.8,30.3,-7.0,16.4,333.3
위험회피회계파생상품관련이익,,,,,,
외환거래(환율변동)손익,,,,,,
금융자산관련이익,,,,,,
기타영업이익,36.4,48.5,47.6,56.8,56.9,0.2
순영업이익,169.9,151.3,160.1,148.1,179.9,21.4
*(회사기재상)순영업이익,,,,,,
판매비와관리비,97.4,95.5,97.7,102.1,104.4,2.2
영업이익,72.5,55.8,62.5,46.0,75.5,64.1
영업외수익,26.6,18.8,14.4,23.3,49.8,113.9
영업외비용,0.0,0.2,,0.0,4.8,"5,984,612.5"
법인세비용차감전계속사업이익,99.2,74.4,76.9,69.3,120.5,73.9
법인세비용,20.3,14.3,14.7,17.0,24.6,44.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,78.8,60.0,62.2,52.3,95.9,83.6
중단사업이익,,,,,,
*중단사업이익법인세효과,,,,,,
당기순이익,78.8,60.0,62.2,52.3,95.9,83.6
기타포괄이익,44.8,-20.4,80.9,172.0,114.3,-33.6
총포괄이익,123.7,39.6,143.2,224.3,210.2,-6.3
*주당계속사업이익,621,469,99,83,156,88
*주당순이익,621,469,99,83,156,88
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,621,469,99,83,156,88
*(지배주주지분)주당순이익,621,469,99,83,156,88
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
