항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,전년대비
매출액(수익),"3,715.9","6,270.7","6,714.1","6,913.2","7,006.9",1.4
*내수,"3,472.4",,"6,383.1","6,614.5",,
*수출,243.5,,331.0,298.7,,
매출원가,"2,945.5","4,884.4","5,196.2","5,346.3","5,447.2",1.9
매출총이익,770.4,"1,386.3","1,517.8","1,566.9","1,559.8",-0.5
판매비와관리비,720.7,"1,312.4","1,515.5","1,437.9","1,665.1",15.8
영업이익,49.7,73.9,2.3,129.0,-105.3,-181.6
*기타영업손익,,,,,,
영업이익(발표기준),49.7,73.9,2.3,129.0,-105.3,-181.6
*[구K-IFRS]영업이익,,,,,,
금융수익,0.1,0.1,1.4,0.8,1.9,156.2
금융원가,11.9,16.1,14.2,11.1,83.7,655.5
기타영업외손익,-4.6,-5.9,3.8,6.6,55.8,748.5
"종속기업,공동지배기업및관계기업관련손익",,-3.2,1.1,0.2,-7.2,"-3,422.9"
법인세비용차감전계속사업이익,33.2,48.9,-5.5,125.5,-138.3,-210.2
법인세비용,22.6,30.0,96.9,55.9,11.5,-79.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,10.7,18.9,-102.4,69.6,-149.9,-315.2
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,10.7,18.9,-102.4,69.6,-149.9,-315.2
기타포괄이익,6.8,85.4,0.4,-20.4,39.5,293.3
총포괄이익,17.5,104.3,-102.0,49.2,-110.4,-324.2
*주당계속사업이익,102,142,-698,473,-854,-281
*주당순이익,102,142,-698,473,-854,-281
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,102,142,-698,473,-854,-281
*(지배주주지분)주당순이익,102,142,-698,473,-854,-281
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
