항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,263.2","1,324.1","1,175.4","1,214.3","1,434.0",18.1
*내수,862.0,,867.2,866.1,,
*수출,401.2,,308.1,348.2,,
매출원가,"1,201.8","1,265.4","1,141.3","1,148.2","1,347.0",17.3
매출총이익,61.4,58.7,34.0,66.0,87.0,31.7
판매비와관리비,44.1,36.7,43.5,40.1,68.8,71.5
영업이익,17.3,22.0,-9.5,25.9,18.2,-29.8
*기타영업손익,,,,,,
영업이익(발표기준),17.3,22.0,-9.5,25.9,18.2,-29.8
*[구K-IFRS]영업이익,,,,,,
금융수익,11.4,11.8,0.4,0.1,1.2,"1,034.1"
금융원가,20.9,24.5,20.6,29.2,44.7,52.8
기타영업외손익,44.5,-0.2,-4.8,10.7,-9.6,-190.0
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,52.3,9.1,-34.5,7.5,-34.9,-566.9
법인세비용,3.6,1.5,0.6,0.9,-4.4,-571.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,48.7,7.6,-35.1,6.5,-30.4,-566.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,48.7,7.6,-35.1,6.5,-30.4,-566.3
기타포괄이익,-1.7,-6.6,6.5,-5.4,12.8,338.4
총포괄이익,47.0,1.0,-28.6,1.1,-17.6,"-1,633.0"
*주당계속사업이익,184,28,-130,24,-60,-350
*주당순이익,184,28,-130,24,-60,-350
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,184,28,-130,24,-60,-350
*(지배주주지분)주당순이익,184,28,-130,24,-60,-350
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
