항목,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"2,211.7","4,618.4","3,814.1","5,884.6",-17.4,54.3
*내수,"2,211.7","4,618.4",,,,
*수출,,,,,,
매출원가,"1,955.2","4,112.2","3,332.1",,-19.0,
매출총이익,256.5,506.2,482.0,680.3,-4.8,41.1
판매비와관리비,61.6,245.9,302.1,,22.9,
영업이익,194.9,260.3,179.9,283.1,-30.9,57.4
*기타영업손익,,,,,,
영업이익(발표기준),194.9,260.3,179.9,,-30.9,
*[구K-IFRS]영업이익,,,,,,
금융수익,43.8,165.0,170.3,,3.2,
금융원가,66.8,220.8,171.0,,-22.6,
기타영업외손익,3.7,-38.0,9.1,,123.8,
"종속기업,공동지배기업및관계기업관련손익",-15.6,16.2,-2.0,,-112.4,
법인세비용차감전계속사업이익,160.1,182.7,186.3,313.6,2.0,68.3
법인세비용,41.4,40.8,99.3,,143.7,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,118.7,141.9,87.0,,-38.7,
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,118.7,141.9,87.0,241.4,-38.7,177.6
기타포괄이익,-12.0,-3.0,-11.9,,-294.3,
총포괄이익,106.7,138.9,75.1,,-46.0,
*주당계속사업이익,165,203,106,,-48,
*주당순이익,165,203,106,,-48,
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,165,203,106,,-48,
*(지배주주지분)주당순이익,165,203,106,294,-48,178
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
