항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),564.8,707.6,621.5,615.7,553.0,-10.2
*내수,555.1,,606.6,608.1,,
*수출,9.7,,14.9,7.6,,
매출원가,450.3,577.0,493.9,487.2,464.4,-4.7
매출총이익,114.5,130.6,127.6,128.4,88.6,-31.0
판매비와관리비,105.5,119.9,124.0,121.0,124.9,3.2
영업이익,9.0,10.7,3.6,7.4,-36.3,-588.2
*기타영업손익,,,,,,
영업이익(발표기준),9.0,10.7,3.6,7.4,-36.3,-588.2
*[구K-IFRS]영업이익,,,,,,
금융수익,0.6,9.7,1.7,2.7,5.5,105.2
금융원가,8.6,15.0,19.9,31.9,22.4,-29.7
기타영업외손익,0.9,1.0,-5.5,-2.8,-4.5,-60.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,1.9,6.4,-20.1,-24.6,-57.8,-134.8
법인세비용,,0.2,,0.4,,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,1.9,6.2,-20.1,-25.0,-57.8,-131.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,1.9,6.2,-20.1,-25.0,-57.8,-131.5
기타포괄이익,-3.4,2.2,-5.2,5.6,2.0,-63.4
총포괄이익,-1.5,8.4,-25.3,-19.4,-55.7,-187.3
*주당계속사업이익,1,2,-6,-7,-16,-114
*주당순이익,1,2,-6,-7,-16,-114
*희석주당계속사업이익,,1,,,,
*희석주당순이익,,1,,,,
*(지배주주지분)주당계속사업이익,1,2,-6,-7,-16,-114
*(지배주주지분)주당순이익,1,2,-6,-7,-16,-114
*(지배주주지분)희석주당계속사업이익,,1,,,,
*(지배주주지분)희석주당순이익,,1,,,,
