항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)"
매출액(수익),"5,616.6","6,535.7","6,331.8","1,899.2","1,765.0"
*내수,,,"6,331.8","1,899.2",
*수출,,,,,
매출원가,"4,888.8","5,881.2","6,219.2","3,489.7","3,517.4"
매출총이익,727.7,654.5,112.6,"-1,590.5","-1,752.4"
판매비와관리비,383.0,448.9,491.0,296.4,287.2
영업이익,344.7,205.5,-378.4,"-1,886.8","-2,039.6"
*기타영업손익,,,,,
영업이익(발표기준),344.7,205.5,-378.4,"-1,886.8","-2,039.6"
*[구K-IFRS]영업이익,,,,,
금융수익,55.8,27.4,64.7,35.8,12.3
금융원가,5.4,20.0,437.6,367.9,361.7
기타영업외손익,-23.9,23.2,-208.0,521.1,"-1,136.9"
"종속기업,공동지배기업및관계기업관련손익",,,,,
법인세비용차감전계속사업이익,371.2,236.1,-959.3,"-1,697.9","-3,526.0"
법인세비용,86.6,33.2,-230.2,-413.1,-866.4
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,284.6,202.9,-729.1,"-1,284.7","-2,659.6"
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,284.6,202.9,-729.1,"-1,284.7","-2,659.6"
기타포괄이익,2.1,-25.3,-5.9,-4.6,69.2
총포괄이익,286.8,177.7,-735.0,"-1,289.3","-2,590.5"
*주당계속사업이익,"3,007",430,"-1,403","-2,408","-2,414"
*주당순이익,"3,007",430,"-1,403","-2,408","-2,414"
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,"3,007",430,"-1,403","-2,408","-2,414"
*(지배주주지분)주당순이익,"3,007",430,"-1,403","-2,408","-2,414"
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
