항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,840.9","1,395.2","2,133.3","2,374.0","1,710.9",-27.9
*내수,101.4,128.8,,182.6,,
*수출,"1,739.5","1,266.4",,"2,191.4",,
매출원가,"1,460.5","1,187.5","1,776.4","1,973.1","1,423.7",-27.9
매출총이익,380.4,207.7,356.9,400.9,287.2,-28.4
판매비와관리비,188.4,226.6,182.2,169.6,154.4,-9.0
영업이익,192.0,-18.9,174.7,231.3,132.8,-42.6
*기타영업손익,,,,,,
영업이익(발표기준),192.0,-18.9,174.7,231.3,132.8,-42.6
*[구K-IFRS]영업이익,,,,,,
금융수익,43.7,84.2,77.4,57.1,128.7,125.3
금융원가,176.0,19.9,29.6,153.9,25.9,-83.2
기타영업외손익,-0.7,-20.6,-5.5,1.8,-71.7,"-4,055.5"
"종속기업,공동지배기업및관계기업관련손익",1.4,,-16.3,,,
법인세비용차감전계속사업이익,60.4,24.8,200.7,136.3,164.0,20.3
법인세비용,14.6,5.6,46.2,38.4,38.9,1.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,45.8,19.2,154.5,97.9,125.0,27.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,45.8,19.2,154.5,97.9,125.0,27.8
기타포괄이익,-5.6,1.3,-1.0,-4.9,6.2,226.2
총포괄이익,40.2,20.4,153.5,93.0,131.2,41.1
*주당계속사업이익,647,262,"2,148","1,414","1,957",38
*주당순이익,647,262,"2,148","1,414","1,957",38
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,647,262,"2,148","1,414","1,957",38
*(지배주주지분)주당순이익,647,262,"2,148","1,414","1,957",38
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
