항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,646.3","1,507.0","1,491.7","1,490.5","1,621.4",8.8
*내수,"1,634.2",,"1,417.5","1,418.8",,
*수출,12.1,,74.2,71.7,,
매출원가,"1,314.8","1,324.0","1,309.1","1,304.9","1,401.1",7.4
매출총이익,331.5,183.0,182.6,185.6,220.3,18.7
판매비와관리비,265.9,141.7,145.6,146.0,175.3,20.1
영업이익,65.6,41.3,37.0,39.6,45.0,13.5
*기타영업손익,,,,,,
영업이익(발표기준),65.6,41.3,37.0,39.6,45.0,13.5
*[구K-IFRS]영업이익,,,,,,
금융수익,25.8,7.0,12.6,15.0,4.9,-67.1
금융원가,32.1,25.8,32.0,27.8,19.0,-31.8
기타영업외손익,-12.7,-18.9,-18.8,-23.6,-40.8,-73.0
"종속기업,공동지배기업및관계기업관련손익",12.3,26.4,28.3,29.0,36.6,26.3
법인세비용차감전계속사업이익,58.8,30.1,27.2,32.3,26.8,-16.9
법인세비용,12.9,8.5,8.9,11.2,4.8,-57.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,45.9,21.5,18.3,21.1,22.0,4.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,45.9,21.5,18.3,21.1,22.0,4.7
기타포괄이익,1.8,-4.4,7.6,-6.0,-9.5,-59.1
총포괄이익,47.7,17.1,25.9,15.1,12.5,-16.9
*주당계속사업이익,127,60,51,58,61,5
*주당순이익,127,60,51,58,61,5
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,127,60,51,58,61,5
*(지배주주지분)주당순이익,127,60,51,58,61,5
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
