항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),5.1,227.7,608.7,535.0,73.1,-86.3
*내수,,,,,,
*수출,,,,,,
매출원가,,158.9,451.4,418.6,3.7,-99.1
매출총이익,5.1,68.8,157.3,116.3,69.3,-40.4
판매비와관리비,17.4,63.0,46.1,30.1,23.5,-22.0
영업이익,-12.3,5.8,111.2,86.2,45.8,-46.8
*기타영업손익,,,,,,
영업이익(발표기준),-12.3,5.8,111.2,86.2,45.8,-46.8
*[구K-IFRS]영업이익,,,,,,
금융수익,1.7,0.4,1.1,0.5,1.7,221.2
금융원가,0.4,,0.1,1.8,4.4,140.8
기타영업외손익,3.5,27.0,-17.1,2.2,0.2,-91.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-7.5,33.1,95.2,87.1,43.4,-50.2
법인세비용,1.3,-2.5,21.7,20.3,10.3,-49.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-8.8,35.7,73.5,66.8,33.1,-50.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-8.8,35.7,73.5,66.8,33.1,-50.5
기타포괄이익,-0.4,-1.7,-3.8,-3.3,-3.6,-7.2
총포괄이익,-9.1,33.9,69.7,63.5,29.5,-53.5
*주당계속사업이익,-239,970,"1,939","1,762",804,-54
*주당순이익,-239,970,"1,939","1,762",804,-54
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-239,970,"1,939","1,762",804,-54
*(지배주주지분)주당순이익,-239,970,"1,939","1,762",804,-54
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
