항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),203.4,285.9,919.0,"1,135.2","1,176.9","1,458.0",3.7,23.9
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,143.5,193.2,587.5,722.0,868.6,,20.3,
매출총이익,59.9,92.6,331.5,413.2,308.3,548.0,-25.4,77.8
판매비와관리비,69.1,86.7,205.3,262.5,210.3,,-19.9,
영업이익,-9.2,5.9,126.2,150.7,98.0,203.0,-35.0,107.1
*기타영업손익,,,,,,,,
영업이익(발표기준),-9.2,5.9,126.2,150.7,98.0,,-35.0,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,0.0,0.0,0.8,1.6,11.5,,616.6,
금융원가,4.5,4.9,9.2,0.5,0.2,,-65.9,
기타영업외손익,-1.2,1.0,-4.4,1.9,-2.8,,-247.6,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,-14.9,2.1,113.4,153.7,106.6,220.0,-30.6,106.4
법인세비용,0.0,-0.0,19.6,-2.1,17.0,,907.7,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,-14.9,2.1,93.8,155.8,89.6,,-42.5,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,-14.9,2.1,93.8,155.8,89.6,193.0,-42.5,115.3
기타포괄이익,0.4,0.1,-2.4,-0.7,-2.7,,-263.0,
총포괄이익,-14.5,2.1,91.4,155.1,87.0,,-43.9,
*주당계속사업이익,"-2,110",285,388,536,284,,-47,
*주당순이익,"-2,110",285,388,536,284,,-47,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"-2,110",285,388,536,284,,-47,
*(지배주주지분)주당순이익,"-2,110",285,388,536,284,531,-47,87
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
