항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),823.9,919.1,865.4,878.0,844.1,-3.9
*내수,,826.2,837.0,804.7,,
*수출,,104.1,43.3,86.9,,
매출원가,462.8,567.2,534.6,536.5,508.6,-5.2
매출총이익,361.0,351.9,330.8,341.5,335.4,-1.8
판매비와관리비,351.5,370.0,406.1,378.2,388.4,2.7
영업이익,9.6,-18.1,-75.3,-36.7,-53.0,-44.4
*기타영업손익,,,,,,
영업이익(발표기준),9.6,-18.1,-75.3,-36.7,-53.0,-44.4
*[구K-IFRS]영업이익,,,,,,
금융수익,5.7,33.4,26.7,21.7,17.8,-17.9
금융원가,24.3,82.9,45.0,95.2,16.3,-82.9
기타영업외손익,3.4,0.7,5.9,2.2,7.7,254.1
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-5.7,-66.9,-87.7,-108.1,-43.8,59.5
법인세비용,-3.7,-9.5,-3.8,32.7,-0.7,-102.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-2.0,-57.4,-83.9,-140.8,-43.1,69.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-2.0,-57.4,-83.9,-140.8,-43.1,69.4
기타포괄이익,0.3,-10.4,1.1,3.0,-10.5,-449.2
총포괄이익,-1.7,-67.9,-82.7,-137.8,-53.6,61.1
*주당계속사업이익,-10,-258,-364,-600,-185,69
*주당순이익,-10,-258,-364,-600,-185,69
*희석주당계속사업이익,,-293,-263,-590,-191,68
*희석주당순이익,,-293,-263,-590,-191,68
*(지배주주지분)주당계속사업이익,-10,-258,-364,-600,-185,69
*(지배주주지분)주당순이익,-10,-258,-364,-600,-185,69
*(지배주주지분)희석주당계속사업이익,,-293,-263,-590,-191,68
*(지배주주지분)희석주당순이익,,-293,-263,-590,-191,68
