항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,173.6","1,130.3","1,179.5","1,171.3","1,064.0",-9.2
*내수,"1,160.2",,"1,170.6","1,159.9",,
*수출,13.4,,8.9,11.5,,
매출원가,883.0,928.2,932.9,853.5,814.8,-4.5
매출총이익,290.6,202.1,246.6,317.8,249.1,-21.6
판매비와관리비,241.1,227.0,218.9,224.4,214.8,-4.3
영업이익,49.5,-25.0,27.7,93.3,34.3,-63.2
*기타영업손익,,,,,,
영업이익(발표기준),49.5,-25.0,27.7,93.3,34.3,-63.2
*[구K-IFRS]영업이익,,,,,,
금융수익,2.7,3.1,4.3,3.9,2.5,-35.9
금융원가,0.1,0.1,0.4,2.1,1.9,-7.5
기타영업외손익,-0.3,-0.2,-0.9,-3.0,-2.7,7.5
"종속기업,공동지배기업및관계기업관련손익",,,,10.5,6.3,-40.3
법인세비용차감전계속사업이익,51.8,-22.1,30.7,102.8,38.5,-62.6
법인세비용,10.6,-3.8,6.4,23.6,5.8,-75.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,41.2,-18.3,24.3,79.2,32.7,-58.7
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,41.2,-18.3,24.3,79.2,32.7,-58.7
기타포괄이익,,,,,35.0,
총포괄이익,41.2,-18.3,24.3,79.2,67.6,-14.6
*주당계속사업이익,113,-50,66,217,89,-59
*주당순이익,113,-50,66,217,89,-59
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,113,-50,66,217,89,-59
*(지배주주지분)주당순이익,113,-50,66,217,89,-59
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
