항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"21,804.8","37,814.5","29,839.7","30,947.0","34,687.0",3.7,12.1
*내수,,"37,814.5","29,839.7",,,,
*수출,,,,,,,
매출원가,"19,412.8","33,888.1","25,885.9","26,904.1",,3.9,
매출총이익,"2,392.1","3,926.3","3,953.9","4,042.9","4,989.5",2.3,23.4
판매비와관리비,"1,892.1","2,623.8","3,513.1","2,842.2",,-19.1,
영업이익,500.0,"1,302.5",440.7,"1,200.7","1,558.3",172.4,29.8
*기타영업손익,,,,,,,
영업이익(발표기준),500.0,"1,302.5",440.7,"1,200.7",,172.4,
*[구K-IFRS]영업이익,,,,,,,
금융수익,372.4,752.2,"1,183.5",892.0,,-24.6,
금융원가,796.5,"1,437.5","1,691.7","1,224.0",,-27.6,
기타영업외손익,-38.7,-58.0,-112.4,85.2,,175.8,
"종속기업,공동지배기업및관계기업관련손익",,,-0.0,-10.3,,"-27,734.9",
법인세비용차감전계속사업이익,37.1,559.2,-179.8,943.6,"1,247.7",624.8,32.2
법인세비용,18.0,399.0,12.8,178.4,,"1,296.0",
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,19.1,160.2,-192.6,765.2,,497.3,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,19.1,160.2,-192.6,765.2,915.0,497.3,19.6
기타포괄이익,-169.5,-104.5,-29.9,-88.6,,-196.4,
총포괄이익,-150.4,55.7,-222.5,676.6,,404.1,
*주당계속사업이익,204,"1,411","-2,386","6,187",,359,
*주당순이익,204,"1,411","-2,386","6,187",,359,
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,204,"1,411","-2,386","6,187",,359,
*(지배주주지분)주당순이익,204,"1,411","-2,386","6,187","7,511",359,21
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
