항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),56.3,51.8,51.5,22.3,178.8,700.3
*내수,56.3,,51.5,22.3,,
*수출,,,,,,
매출원가,52.6,47.4,49.3,28.7,180.0,528.4
매출총이익,3.7,4.4,2.2,-6.3,-1.2,80.3
판매비와관리비,7.4,8.3,6.8,5.7,14.3,149.9
영업이익,-3.7,-3.9,-4.6,-12.0,-15.5,-29.1
*기타영업손익,,,,,,
영업이익(발표기준),-3.7,-3.9,-4.6,-12.0,-15.5,-29.1
*[구K-IFRS]영업이익,,,,,,
금융수익,0.2,0.2,0.5,3.9,6.5,64.6
금융원가,4.1,4.2,5.6,7.8,10.8,38.4
기타영업외손익,8.7,4.9,0.3,0.5,0.4,-28.5
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,1.1,-3.0,-9.4,-15.4,-19.4,-26.6
법인세비용,0.1,0.5,,,,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,0.9,-3.5,-9.4,-15.4,-19.4,-26.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,0.9,-3.5,-9.4,-15.4,-19.4,-26.6
기타포괄이익,0.0,0.1,0.3,-2.5,-1.1,55.3
총포괄이익,1.0,-3.3,-9.1,-17.9,-20.6,-15.0
*주당계속사업이익,233,-849,"-2,309",-377,-477,-27
*주당순이익,233,-849,"-2,309",-377,-477,-27
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,233,-849,"-2,309",-377,-477,-27
*(지배주주지분)주당순이익,233,-849,"-2,309",-377,-477,-27
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
