단축종목코드,운용사,ETF명,기초지수,상장일,과세,수익률,총보수,추적오차,괴리율,순자산총액(억),변동성,분류체계,복제방법
A304770,엔에이치아문디자산운용,HANARO 코스닥150,코스닥 150,2018-08-14,비과세,-,0.2,0.03,0.01,117,매우낮음,주식-시장대표,실물
A304780,엔에이치아문디자산운용,HANARO 200선물레버리지,코스피 200 선물지수,2018-08-14,배당소득세(보유기간과세),-,0.45,0.66,0.05,124,매우낮음,주식-시장대표,실물
A304760,엔에이치아문디자산운용,HANARO KRX300,KRX 300,2018-08-14,비과세,-,0.05,0.05,0.03,110,매우낮음,주식-시장대표,실물
A300950,삼성자산운용,KODEX 게임산업,FnGuide 게임 산업 지수,2018-07-24,비과세,-,0.45,0.16,-0.11,104,매우낮음,주식-업종섹터-업종테마,실물
A300640,케이비자산운용,KBSTAR 게임테마,WISE 게임 테마 지수 (시장가격지수),2018-07-24,비과세,-,0.3,0.23,-0.18,67,매우낮음,주식-업종섹터-업종테마,실물
A300610,미래에셋자산운용,TIGER K게임,WISE K게임 테마 지수,2018-07-24,비과세,-,0.5,0.06,0.01,75,매우낮음,주식-업종섹터-업종테마,실물
A302450,케이비자산운용,KBSTAR 코스피,코스피,2018-07-24,비과세,-,0.14,0.06,-0.08,80,매우낮음,주식-시장대표,실물
A302170,미래에셋자산운용,TIGER 국채선물3년인버스,국채선물지수,2018-07-20,배당소득세(보유기간과세),-,0.07,0.04,-0.03,90,매우낮음,채권-국공채-중기,실물
A302180,미래에셋자산운용,TIGER 국채선물10년인버스,10년국채선물지수,2018-07-20,배당소득세(보유기간과세),-,0.07,0.04,0.04,89,매우낮음,채권-국공채-장기,실물
A302190,미래에셋자산운용,TIGER 중장기국채,KIS 국채 3-10년 지수(시장가격지수),2018-07-20,배당소득세(보유기간과세),-,0.15,0.17,-0.05,111,매우낮음,채권-국공채-중기,실물
A302200,미래에셋자산운용,TIGER 중장기국채선물인버스,국채 3-10년 선물지수,2018-07-20,배당소득세(보유기간과세),-,0.15,0.04,0.03,89,매우낮음,채권-국공채-중기,실물
A302210,미래에셋자산운용,TIGER 중장기국채선물인버스2X,국채 3-10년 선물지수,2018-07-20,배당소득세(보유기간과세),-,0.15,0.04,0.05,88,매우낮음,채권-국공채-중기,실물
A300310,케이비자산운용,KBSTAR KQ모멘텀밸류,FnGuide KQ 모멘텀&밸류 지수,2018-07-18,비과세,-,0.35,0.52,-0.01,69,매우낮음,주식-전략-성장,실물
A300300,케이비자산운용,KBSTAR KQ모멘텀로우볼,FnGuide KQ 모멘텀&로우볼 지수,2018-07-18,비과세,-,0.35,0.48,-0.01,67,매우낮음,주식-전략-성장,실물
