단축종목코드,운용사,ETF명,기초지수,상장일,과세,수익률,총보수,추적오차,괴리율,순자산총액(억),변동성,분류체계,복제방법
A314700,엔에이치아문디자산운용,HANARO 농업융복합산업,FnGuide 농업융복합산업 지수(시장가격),2018/12/21,비과세,-,0.5,0.0,0.09,0,매우낮음,주식-업종섹터-업종테마,실물
A310080,케이비자산운용,KBSTAR 중국MSCI China선물(H),MSCI China NTR Index(USD) (Net Total Return),2018/11/28,배당소득세(보유기간과세),-,0.6,0.0,1.23,0,매우높음,주식-시장대표,실물
A310960,미래에셋자산운용,TIGER 200TR,코스피 200 TR,2018/11/20,배당소득세(보유기간과세),-,0.09,0.0,0.0,0,매우낮음,주식-시장대표,실물
A310970,미래에셋자산운용,TIGER MSCI Korea TR,MSCI Korea TR Index,2018/11/20,배당소득세(보유기간과세),-,0.12,0.0,-0.02,0,매우낮음,주식-시장대표,실물
A309170,한화자산운용,ARIRANG KRX300IT,KRX300 정보기술,2018/11/08,비과세,-,0.4,0.0,-0.05,0,보통,주식-업종섹터-정보기술,실물
A309200,한화자산운용,ARIRANG KRX300자유소비재,KRX300 자유소비재,2018/11/08,비과세,-,0.4,0.0,-0.05,0,매우낮음,주식-업종섹터-자유소비재,실물
A307510,미래에셋자산운용,TIGER 의료기기,FnGuide 의료기기 지수,2018/11/08,비과세,-,0.5,0.0,-0.81,0,보통,주식-업종섹터-업종테마,실물
A307520,미래에셋자산운용,TIGER 지주회사,FnGuide 지주회사 지수,2018/11/08,비과세,-,0.5,0.0,-0.32,0,낮음,주식-업종섹터-업종테마,실물
A309180,한화자산운용,ARIRANG KRX300금융,KRX300 금융,2018/11/08,비과세,-,0.4,0.0,-0.19,0,매우낮음,주식-업종섹터-금융,실물
A309190,한화자산운용,ARIRANG KRX300산업재,KRX300 산업재,2018/11/08,비과세,-,0.4,0.0,-0.06,0,높음,주식-업종섹터-산업재,실물
A309210,한화자산운용,ARIRANG KRX300헬스케어,KRX300 헬스케어,2018/11/08,비과세,-,0.4,0.0,-0.07,0,낮음,주식-업종섹터-헬스케어,실물
A309230,한국투자신탁운용,KINDEX 미국WideMoat가치주,MorningStar Wide Moat Focus Index,2018/10/25,배당소득세(보유기간과세),-,0.4,0.0,0.41,0,보통,주식-전략-가치,실물
A308620,삼성자산운용,KODEX 미국채10년선물,S&P 10-Year U.S. Treasury Note Futures KRW(ER),2018/10/19,배당소득세(보유기간과세),-,0.3,0.0,0.09,0,매우낮음,채권-국공채-장기,실물
A307610,미래에셋자산운용,TIGER KRX300레버리지,KRX 300,2018/10/16,배당소득세(보유기간과세),-,0.55,0.0,-0.38,0,매우낮음,주식-시장대표,실물
A307020,케이비자산운용,KBSTAR KRX300선물인버스,KRX 300 선물지수,2018/10/16,배당소득세(보유기간과세),-,0.55,0.0,0.09,0,낮음,주식-시장대표,실물
A307010,케이비자산운용,KBSTAR KRX300레버리지,KRX 300,2018/10/16,배당소득세(보유기간과세),-,0.55,0.0,-0.13,0,낮음,주식-시장대표,실물
A306960,삼성자산운용,KODEX KRX300선물인버스,KRX 300 선물지수,2018/10/16,배당소득세(보유기간과세),-,0.64,0.0,0.13,0,매우낮음,주식-시장대표,실물
A306950,삼성자산운용,KODEX KRX300레버리지,KRX 300,2018/10/16,배당소득세(보유기간과세),-,0.64,0.0,0.4,0,보통,주식-시장대표,실물
A307620,미래에셋자산운용,TIGER KRX300선물인버스,KRX 300 선물지수,2018/10/16,배당소득세(보유기간과세),-,0.55,0.0,-0.38,0,매우낮음,주식-시장대표,실물
A305050,한국투자신탁운용,KINDEX 코스피,코스피,2018/10/05,비과세,-,0.13,0.0,0.03,0,매우낮음,주식-시장대표,실물
A306530,엔에이치아문디자산운용,HANARO 코스닥150선물레버리지,F-코스닥150 지수,2018/09/18,배당소득세(보유기간과세),-,0.45,0.0,0.14,0,낮음,주식-시장대표,실물
A306520,엔에이치아문디자산운용,HANARO 200선물인버스,코스피 200 선물지수,2018/09/18,배당소득세(보유기간과세),-,0.45,0.0,-0.12,0,낮음,주식-시장대표,실물
A306540,엔에이치아문디자산운용,HANARO 단기통안채,KAP 단기 통안채 지수(총수익),2018/09/18,배당소득세(보유기간과세),-,0.1,0.0,0.0,0,매우낮음,채권-국공채-단기,실물
A304670,삼성자산운용,KODEX 미국채울트라30년선물인버스(H),S&P Ultra T-Bond Futures Index(ER),2018/09/12,배당소득세(보유기간과세),-,0.3,0.0,0.11,0,매우낮음,채권-국공채-장기,실물
A305540,미래에셋자산운용,TIGER 2차전지테마,WISE 2차전지 테마 지수,2018/09/12,비과세,-,0.5,0.0,0.03,0,보통,주식-업종섹터-업종테마,실물
A305720,삼성자산운용,KODEX 2차전지산업,FnGuide 2차전지 산업 지수,2018/09/12,비과세,-,0.45,0.0,-0.29,0,매우낮음,주식-업종섹터-업종테마,실물
A304660,삼성자산운용,KODEX 미국채울트라30년선물(H),S&P Ultra T-Bond Futures Index(ER),2018/09/12,배당소득세(보유기간과세),-,0.3,0.0,0.02,0,매우낮음,채권-국공채-장기,실물
A304940,삼성자산운용,KODEX 미국나스닥100선물(H),NASDAQ 100,2018/08/30,배당소득세(보유기간과세),-,0.45,0.0,-0.29,0,매우높음,주식-시장대표,실물
A305080,미래에셋자산운용,TIGER 미국채10년선물,S&P 10-Year U.S. Treasury Note Futures(ER),2018/08/30,배당소득세(보유기간과세),-,0.29,0.0,0.09,0,낮음,채권-국공채-장기,실물
A304770,엔에이치아문디자산운용,HANARO 코스닥150,코스닥 150,2018/08/14,비과세,-,0.2,0.0,-0.28,0,매우낮음,주식-시장대표,실물
A304760,엔에이치아문디자산운용,HANARO KRX300,KRX 300,2018/08/14,비과세,-,0.05,0.0,0.08,0,매우낮음,주식-시장대표,실물
A304780,엔에이치아문디자산운용,HANARO 200선물레버리지,코스피 200 선물지수,2018/08/14,배당소득세(보유기간과세),-,0.45,0.0,0.19,0,보통,주식-시장대표,실물
A300610,미래에셋자산운용,TIGER K게임,WISE K게임 테마 지수,2018/07/24,비과세,-,0.5,0.0,-0.66,0,낮음,주식-업종섹터-업종테마,실물
A300950,삼성자산운용,KODEX 게임산업,FnGuide 게임 산업 지수,2018/07/24,비과세,-,0.45,0.0,0.01,0,보통,주식-업종섹터-업종테마,실물
A300640,케이비자산운용,KBSTAR 게임테마,WISE 게임 테마 지수 (시장가격지수),2018/07/24,비과세,-,0.3,0.0,0.02,0,매우낮음,주식-업종섹터-업종테마,실물
A302450,케이비자산운용,KBSTAR 코스피,코스피,2018/07/24,비과세,-,0.14,0.0,0.05,0,매우낮음,주식-시장대표,실물
A302200,미래에셋자산운용,TIGER 중장기국채선물인버스,국채 3-10년 선물지수,2018/07/20,배당소득세(보유기간과세),-,0.15,0.0,-0.03,0,매우낮음,채권-국공채-중기,실물
A302210,미래에셋자산운용,TIGER 중장기국채선물인버스2X,국채 3-10년 선물지수,2018/07/20,배당소득세(보유기간과세),-,0.15,0.0,-0.06,0,매우낮음,채권-국공채-중기,실물
A302190,미래에셋자산운용,TIGER 중장기국채,KIS 국채 3-10년 지수(시장가격지수),2018/07/20,배당소득세(보유기간과세),-,0.15,0.0,0.01,0,매우낮음,채권-국공채-중기,실물
A302170,미래에셋자산운용,TIGER 국채선물3년인버스,국채선물지수,2018/07/20,배당소득세(보유기간과세),-,0.07,0.0,0.01,0,매우낮음,채권-국공채-중기,실물
A302180,미래에셋자산운용,TIGER 국채선물10년인버스,10년국채선물지수,2018/07/20,배당소득세(보유기간과세),-,0.07,0.0,-0.04,0,매우낮음,채권-국공채-장기,실물
A300310,케이비자산운용,KBSTAR KQ모멘텀밸류,FnGuide KQ 모멘텀&밸류 지수,2018/07/18,비과세,-,0.35,0.0,0.03,0,매우낮음,주식-전략-성장,실물
A300300,케이비자산운용,KBSTAR KQ모멘텀로우볼,FnGuide KQ 모멘텀&로우볼 지수,2018/07/18,비과세,-,0.35,0.0,0.06,0,매우낮음,주식-전략-성장,실물
A300280,케이비자산운용,KBSTAR 중소형모멘텀로우볼,FnGuide 중소형 모멘텀&로우볼 지수,2018/07/18,비과세,-,0.35,0.0,0.02,0,낮음,주식-전략-성장,실물
