단축종목코드,운용사,ETF명,기초지수,상장일,과세,수익률,총보수,추적오차,괴리율,순자산총액(억),변동성,분류체계,복제방법
A316300,한국투자신탁운용,KINDEX 싱가포르리츠,Morningstar Singapore REIT Yield Focus Index(PR),2019/01/29,배당소득세(보유기간과세),-,0.4,0.0,0.57,0,매우낮음,부동산-리츠,실물
A315930,삼성자산운용,KODEX Top5PlusTR,FnGuide TOP 5 Plus Total Return 지수,2019/01/22,배당소득세(보유기간과세),-,0.15,0.0,-0.06,0,매우낮음,주식-전략-전략테마,실물
A315960,케이비자산운용,KBSTAR 대형고배당10TR,WISE 대형고배당10 TR 지수,2019/01/22,배당소득세(보유기간과세),-,0.15,0.0,-0.16,0,매우낮음,주식-전략-전략테마,실물
A316670,키움투자자산운용,KOSEF 코스닥150,코스닥 150,2019/01/22,비과세,-,0.15,0.0,-0.31,0,매우낮음,주식-시장대표,실물
A315480,케이비자산운용,KBSTAR 200커뮤니케이션서비스,코스피 200 커뮤니케이션서비스,2019/01/15,비과세,-,0.19,0.0,0.1,0,매우낮음,주식-업종섹터-커뮤니케이션서비스,실물
A315270,미래에셋자산운용,TIGER 200커뮤니케이션서비스,코스피 200 커뮤니케이션서비스,2019/01/15,비과세,-,0.4,0.0,0.0,0,높음,주식-업종섹터-커뮤니케이션서비스,실물
A314250,삼성자산운용,KODEX 미국FANG플러스(H),NYSE FANG+TM Index,2019/01/10,배당소득세(보유기간과세),-,0.45,0.0,-0.49,0,높음,주식-업종섹터-업종테마,실물
A314700,엔에이치아문디자산운용,HANARO 농업융복합산업,FnGuide 농업융복합산업 지수(시장가격),2018/12/21,비과세,-,0.5,0.0,0.05,0,매우낮음,주식-업종섹터-업종테마,실물
A310080,케이비자산운용,KBSTAR 중국MSCI China선물(H),MSCI China NTR Index(USD) (Net Total Return),2018/11/28,배당소득세(보유기간과세),-,0.6,0.0,0.31,0,매우높음,주식-시장대표,실물
A310960,미래에셋자산운용,TIGER 200TR,코스피 200 TR,2018/11/20,배당소득세(보유기간과세),-,0.09,0.0,-0.22,0,매우낮음,주식-시장대표,실물
A310970,미래에셋자산운용,TIGER MSCI Korea TR,MSCI Korea TR Index,2018/11/20,배당소득세(보유기간과세),-,0.12,0.0,-0.06,0,매우낮음,주식-시장대표,실물
A309170,한화자산운용,ARIRANG KRX300IT,KRX300 정보기술,2018/11/08,비과세,-,0.4,0.0,-0.15,0,높음,주식-업종섹터-정보기술,실물
A309200,한화자산운용,ARIRANG KRX300자유소비재,KRX300 자유소비재,2018/11/08,비과세,-,0.4,0.0,-0.27,0,낮음,주식-업종섹터-자유소비재,실물
A307510,미래에셋자산운용,TIGER 의료기기,FnGuide 의료기기 지수,2018/11/08,비과세,-,0.5,0.0,-0.3,0,보통,주식-업종섹터-업종테마,실물
A307520,미래에셋자산운용,TIGER 지주회사,FnGuide 지주회사 지수,2018/11/08,비과세,-,0.5,0.0,-0.37,0,보통,주식-업종섹터-업종테마,실물
A309180,한화자산운용,ARIRANG KRX300금융,KRX300 금융,2018/11/08,비과세,-,0.4,0.0,-0.05,0,매우낮음,주식-업종섹터-금융,실물
A309190,한화자산운용,ARIRANG KRX300산업재,KRX300 산업재,2018/11/08,비과세,-,0.4,0.0,-0.12,0,높음,주식-업종섹터-산업재,실물
A309210,한화자산운용,ARIRANG KRX300헬스케어,KRX300 헬스케어,2018/11/08,비과세,-,0.4,0.0,-0.07,0,매우높음,주식-업종섹터-헬스케어,실물
A309230,한국투자신탁운용,KINDEX 미국WideMoat가치주,MorningStar Wide Moat Focus Index,2018/10/25,배당소득세(보유기간과세),-,0.4,0.0,0.01,0,낮음,주식-전략-가치,실물
