번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,060310,3S,032902,특수 목적용 기계 제조업,"44,395,878","22,197,939,000",500,원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,2239
2,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",2239
3,068400,AJ렌터카,147601,운송장비 임대업,"22,146,300","11,073,150,000",500,원(KRW),1544-1600,서울특별시 구로구  서부샛길 822 ,2239
4,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,2239
5,054620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500",500,원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),2239
6,265520,AP시스템,032902,특수 목적용 기계 제조업,"14,099,511","7,049,755,500",500,원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,2239
7,211270,AP위성,032604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000",500,원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,2239
9,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),1577-3663,서울특별시 강남구 테헤란로 405 BGF사옥,2239
10,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,2239
11,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,2239
12,001040,CJ,116409,기타 금융업,"29,176,998","157,914,810,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 동호로 330 쌍림동, 씨제이제일제당센터",2239
13,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500",500,원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,2239
14,035760,CJ ENM,106002,텔레비전 방송업,"21,926,384","110,563,520,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,2239
15,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,2239
16,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500",500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),2239
17,097950,CJ제일제당,031007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,2239
18,051500,CJ프레시웨이,074603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,2239
19,037560,CJ헬로,106002,텔레비전 방송업,"77,446,865","193,617,162,500","2,500",원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) ",2239
20,058820,CMG제약,032102,의약품 제조업,"108,887,244","54,443,622,000",500,원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),2239
21,023460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",2239
22,065770,CS,032604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000",500,원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),2239
23,083660,CSA 코스믹,032202,플라스틱제품 제조업,"19,747,641","9,873,820,500",500,원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,2239
24,000590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),2239
25,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500",500,원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,2239
26,306620,DB금융스팩6호,116601,금융 지원 서비스업,"4,840,000","484,000,000",100,원(KRW),02-369-3972,서울특별시 영등포구 국제금융로8길 32 &nbsp,2239
27,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,2239
28,045890,DB라이텍,032804,전구 및 조명장치 제조업,"26,586,229","13,293,114,500",500,원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),2239
29,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000",500,원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,2239
30,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,서울특별시 강남구  테헤란로 432 (주)동부하이텍,2239
31,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),0537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,2239
32,068790,DMS,032902,특수 목적용 기계 제조업,"23,032,487","11,516,243,500",500,원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),2239
33,004840,DRB동일,116409,기타 금융업,"19,480,000","9,740,000,000",500,원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,2239
34,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"17,500,000","8,750,000,000",500,원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,2239
35,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000",500,원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,2239
36,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000",500,원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,2239
37,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,"서울특별시 강남구  영동대로 517 아셈타워 13,14층",2239
38,245620,EDGC,137001,자연과학 및 공학 연구개발업,"36,172,940","3,617,294,000",100,원(KRW),0327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp",2239
39,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,2239
40,079190,EMW,032604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500",500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",2239
41,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000",500,원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",2239
42,130500,GH신소재,031309,기타 섬유제품 제조업,"11,000,000","5,500,000,000",500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,2239
43,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000",500,원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,2239
44,032860,GMR 머티리얼즈,053803,"해체, 선별 및 원료 재생업","67,558,840","33,779,420,000",500,원(KRW),02-3452-8449,충청남도 아산시 인주면 인주산단로 65 ,2239
45,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223",0,중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong ",2239
46,078930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 ,2239
47,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500",500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,2239
48,006360,GS건설,064101,건물 건설업,"79,266,269","396,331,345,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,2239
49,001250,GS글로벌,074608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW),02-2270-8114,서울특별시 강남구 논현로 508 GS강남타워 ,2239
50,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,2239
51,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),2239
52,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000",500,원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,2239
