주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,651","1,926","2,580","2,767","2,889","3,184","4,007","4,657"
영업이익,333,346,449,603,741,793,869,"1,046"
영업이익(발표기준),333,346,449,603,741,,,
세전계속사업이익,441,259,340,453,770,811,891,"1,072"
당기순이익,428,671,246,381,641,676,741,898
  당기순이익(지배),277,418,151,326,392,413,453,549
  당기순이익(비지배),151,252,95,55,249,,,
자산총계,"5,371","7,162","7,480","7,929","8,374","9,189","10,222","11,330"
부채총계,"1,427","2,514","2,551","3,660","5,137","5,277","5,569","5,778"
자본총계,"3,944","4,648","4,929","4,269","3,237","3,912","4,653","5,552"
  자본총계(지배),"1,485","2,044","2,189","2,659","2,360","2,773","3,226","3,776"
  자본총계(비지배),"2,459",,"2,740","1,610",876,,,
자본금,71,112,113,114,228,228,228,228
영업활동현금흐름,325,253,511,771,872,940,"1,106","1,259"
투자활동현금흐름,-161,-965,-156,2,"-2,201",-484,-807,-963
재무활동현금흐름,58,437,-246,-170,927,2,-95,-96
CAPEX,175,255,272,325,333,310,500,700
FCF,150,-2,238,446,538,632,505,487
이자발생부채,592,"1,492","1,444","2,232","3,745",,,
영업이익률,20.18,17.98,17.40,21.78,25.65,24.91,21.69,22.46
순이익률,25.94,34.82,9.54,13.75,22.20,21.23,18.49,19.28
ROE(%),20.60,23.70,7.13,13.44,15.62,16.09,15.10,15.68
ROA(%),9.21,10.70,3.36,4.94,7.87,7.70,7.63,8.33
부채비율,36.18,54.08,51.77,85.75,158.71,134.89,119.69,104.07
자본유보율,"2,029.16","1,751.04","1,851.94","2,518.42","1,357.78",,,
EPS(원),680,971,334,718,865,911,999,"1,211"
PER(배),4.77,3.87,8.05,12.64,9.38,9.41,8.58,7.08
BPS(원),"3,500","4,579","4,834","5,865","5,636","6,621","7,703","9,016"
PBR(배),0.93,0.82,0.56,1.55,1.44,1.29,1.11,0.95
현금DPS(원),0,60,35,,,0,0,0
현금배당수익률,0.00,1.60,1.30,,,0.00,0.00,0.00
현금배당성향(%),0.00,6.40,10.50,0.00,,,,
발행주식수(보통주),"42,429,318","44,638,072","45,279,326","45,335,964","45,335,964",,,
