주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,101,218,302,256,367
영업이익,5,23,42,44,70
영업이익(발표기준),5,23,42,44,70
세전계속사업이익,5,22,-37,39,64
당기순이익,4,21,-40,35,55
  당기순이익(지배),4,21,-40,35,55
  당기순이익(비지배),,,,,
자산총계,41,99,219,261,411
부채총계,20,29,53,63,161
자본총계,21,70,165,198,250
  자본총계(지배),21,70,165,198,250
  자본총계(비지배),,,,,
자본금,5,14,17,17,35
영업활동현금흐름,-11,-27,-11,61,16
투자활동현금흐름,-1,-1,5,39,-8
재무활동현금흐름,10,32,18,-10,53
CAPEX,2,1,1,4,1
FCF,-12,-28,-13,57,15
이자발생부채,8,15,34,28,43
영업이익률,5.39,10.37,13.77,17.10,18.97
순이익률,4.17,9.84,-13.32,13.56,14.96
ROE(%),24.05,47.28,-34.19,19.11,24.48
ROA(%),11.19,30.65,-25.29,14.49,16.33
부채비율,95.09,42.06,32.27,31.54,64.43
자본유보율,321.60,413.29,853.43,"1,044.81",630.54
EPS(원),18,77,-123,100,159
PER(배),,,N/A,12.83,18.45
BPS(원),88,215,477,573,723
PBR(배),,,2.52,2.25,4.05
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),,0.00,0.00,0.00,
발행주식수(보통주),"23,634,126","32,543,475","34,621,218","34,621,218","34,621,218"
