주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,132,206,239,158,429
영업이익,46,42,47,-12,58
영업이익(발표기준),46,42,47,-12,58
세전계속사업이익,46,43,44,-15,63
당기순이익,38,34,38,-12,50
  당기순이익(지배),38,34,38,-12,50
  당기순이익(비지배),,,,,
자산총계,114,371,622,647,692
부채총계,42,74,271,210,106
자본총계,72,297,352,436,586
  자본총계(지배),72,297,352,436,586
  자본총계(비지배),,,,,
자본금,3,16,32,36,39
영업활동현금흐름,38,34,17,32,17
투자활동현금흐름,-41,-216,-239,205,-122
재무활동현금흐름,15,182,226,-17,-44
CAPEX,10,6,34,128,78
FCF,28,27,-17,-97,-61
이자발생부채,7,2,206,129,4
영업이익률,35.23,20.38,19.49,-7.91,13.42
순이익률,28.57,16.51,16.02,-7.36,11.77
ROE(%),77.71,18.44,11.79,-2.95,9.88
ROA(%),48.00,14.05,7.70,-1.83,7.54
부채비율,57.94,24.79,76.97,48.23,18.07
자본유보율,"1,819.35","1,641.85",950.27,"1,163.83","1,579.03"
EPS(원),756,628,593,-173,663
PER(배),,56.63,37.88,N/A,62.33
BPS(원),"1,387","4,604","5,497","6,326","7,860"
PBR(배),0.00,7.73,4.08,5.68,5.26
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,206,380","6,453,276","6,453,276","7,119,459","7,824,500"
