주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)"
매출액,287,243,126,184,369,594
영업이익,11,3,-12,11,52,126
영업이익(발표기준),11,3,-12,11,52,
세전계속사업이익,-6,-1,-15,8,51,124
당기순이익,-6,-2,-14,8,59,122
  당기순이익(지배),-6,-2,-14,8,59,122
  당기순이익(비지배),,,,,,
자산총계,285,234,188,248,389,514
부채총계,192,189,155,203,194,194
자본총계,93,46,33,45,195,320
  자본총계(지배),93,46,33,45,195,320
  자본총계(비지배),,,,,,
자본금,21,21,22,22,25,25
영업활동현금흐름,-28,40,-3,-7,0,169
투자활동현금흐름,-26,0,0,-2,-34,-1
재무활동현금흐름,59,-21,-6,0,71,1
CAPEX,5,1,1,2,26,0
FCF,-33,39,-4,-9,-25,160
이자발생부채,131,109,103,102,86,
영업이익률,3.82,1.11,-9.59,5.73,14.23,21.21
순이익률,-2.12,-1.02,-11.34,4.59,15.92,20.54
ROE(%),-8.90,-3.58,-36.44,21.67,48.89,47.37
ROA(%),-2.23,-0.96,-6.79,3.88,18.44,27.03
부채비율,206.15,413.23,468.84,451.18,99.23,60.62
자본유보율,339.01,112.19,51.36,101.73,681.95,
EPS(원),-64,-23,-133,78,503,989
PER(배),N/A,N/A,N/A,65.11,31.49,16.89
BPS(원),882,428,305,412,"1,581","2,593"
PBR(배),4.90,5.05,5.39,12.30,10.02,6.44
현금DPS(원),0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"10,575,488","10,667,988","10,824,238","10,927,487","12,339,234",
