주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,564,562,763,647,738
영업이익,26,30,36,26,33
영업이익(발표기준),26,30,36,26,33
세전계속사업이익,34,39,42,31,38
당기순이익,27,31,33,24,29
  당기순이익(지배),27,31,33,24,29
  당기순이익(비지배),,,,,
자산총계,641,618,698,682,732
부채총계,98,50,110,82,115
자본총계,543,568,588,600,617
  자본총계(지배),543,568,588,600,617
  자본총계(비지배),,,,,
자본금,62,62,62,62,62
영업활동현금흐름,-56,-22,131,1,-20
투자활동현금흐름,145,-124,166,-314,257
재무활동현금흐름,-11,-11,-12,-13,-13
CAPEX,1,0,0,1,0
FCF,-57,-22,131,0,-20
이자발생부채,0,0,0,0,0
영업이익률,4.60,5.41,4.76,4.00,4.49
순이익률,4.70,5.51,4.31,3.73,4.00
ROE(%),4.95,5.57,5.69,4.06,4.84
ROA(%),4.19,4.92,5.00,3.50,4.17
부채비율,18.05,8.82,18.71,13.68,18.70
자본유보율,775.90,815.68,848.75,867.68,895.23
EPS(원),214,250,265,195,238
PER(배),13.57,13.44,13.59,23.27,18.04
BPS(원),"4,380","4,578","4,744","4,838","4,976"
PBR(배),0.66,0.73,0.76,0.94,0.86
현금DPS(원),90,100,100,100,100
현금배당수익률,3.10,2.98,2.77,2.21,2.33
현금배당성향(%),42.10,40.07,37.69,51.38,42.06
발행주식수(보통주),"12,400,000","12,400,000","12,400,000","12,400,000","12,400,000"
