주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,117","1,157","1,172",867,870
영업이익,22,20,31,-8,34
영업이익(발표기준),22,20,31,-8,34
세전계속사업이익,19,23,33,-8,43
당기순이익,18,17,5,-5,33
  당기순이익(지배),18,17,6,-5,33
  당기순이익(비지배),0,-1,-1,0,0
자산총계,"1,211","1,226","1,223","1,142","1,135"
부채총계,437,450,448,363,306
자본총계,774,776,775,779,829
  자본총계(지배),778,781,781,785,836
  자본총계(비지배),-4,,-6,-6,-6
자본금,200,200,200,200,200
영업활동현금흐름,74,51,65,11,92
투자활동현금흐름,-30,-42,15,8,-3
재무활동현금흐름,-23,-4,-55,-24,-45
CAPEX,33,40,12,10,8
FCF,42,11,53,1,84
이자발생부채,149,160,173,140,101
영업이익률,1.95,1.77,2.62,-0.97,3.95
순이익률,1.58,1.43,0.44,-0.62,3.80
ROE(%),2.28,2.22,0.76,-0.63,4.10
ROA(%),1.48,1.36,0.42,-0.46,2.90
부채비율,56.43,57.94,57.71,46.55,36.86
자본유보율,372.28,373.61,372.88,373.24,389.96
EPS(원),45,43,15,-12,83
PER(배),148.12,98.54,259.25,N/A,47.18
BPS(원),"2,511","2,520","2,520","2,533","2,696"
PBR(배),2.68,1.69,1.52,1.96,1.45
현금DPS(원),50,,,,
현금배당수익률,0.74,,,,
현금배당성향(%),85.29,0.00,0.00,0.00,
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000"
