주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,383","1,339","1,110","1,178","1,216"
영업이익,75,102,21,34,56
영업이익(발표기준),75,102,21,34,56
세전계속사업이익,46,95,29,108,70
당기순이익,44,136,23,82,57
  당기순이익(지배),44,136,23,82,57
  당기순이익(비지배),,,,,
자산총계,835,928,"1,051","1,261","1,497"
부채총계,450,249,341,459,630
자본총계,385,679,710,802,867
  자본총계(지배),385,679,710,802,867
  자본총계(비지배),,,,,
자본금,241,74,74,74,74
영업활동현금흐름,13,173,-19,35,-96
투자활동현금흐름,-14,-121,-11,-156,-91
재무활동현금흐름,7,12,165,40,207
CAPEX,14,9,7,10,14
FCF,-2,164,-26,25,-109
이자발생부채,193,45,157,207,393
영업이익률,5.45,7.58,1.89,2.85,4.64
순이익률,3.21,10.14,2.10,6.97,4.65
ROE(%),12.25,25.52,3.36,10.86,6.78
ROA(%),5.81,15.40,2.36,7.10,4.10
부채비율,117.12,36.61,48.07,57.27,72.66
자본유보율,59.59,820.09,847.76,955.37,"1,036.77"
EPS(원),369,"1,112",158,556,383
PER(배),,9.31,55.14,16.51,22.26
BPS(원),"3,192","4,600","4,807","5,431","5,858"
PBR(배),0.00,2.25,1.81,1.69,1.46
현금DPS(원),0,0,0,0,
현금배당수익률,,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"12,050,000","14,763,600","14,763,600","14,763,600","14,801,729"
