주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,276,272,259,244,231
영업이익,25,20,19,14,15
영업이익(발표기준),25,20,19,14,15
세전계속사업이익,16,12,11,11,16
당기순이익,14,11,11,12,14
  당기순이익(지배),14,11,11,12,14
  당기순이익(비지배),,,,,
자산총계,774,672,638,544,489
부채총계,404,314,287,192,138
자본총계,370,358,351,352,350
  자본총계(지배),370,358,351,352,350
  자본총계(비지배),,,,,
자본금,58,58,58,58,58
영업활동현금흐름,54,47,57,60,44
투자활동현금흐름,-35,-62,-31,42,-39
재무활동현금흐름,67,-91,-76,-112,-65
CAPEX,32,35,24,10,13
FCF,22,12,34,50,32
이자발생부채,347,270,242,149,100
영업이익률,8.90,7.52,7.22,5.75,6.35
순이익률,5.05,4.05,4.36,5.09,6.18
ROE(%),3.77,3.02,3.19,3.54,4.06
ROA(%),1.90,1.52,1.73,2.11,2.76
부채비율,109.11,87.74,81.78,54.58,39.50
자본유보율,537.97,554.60,552.13,571.90,579.14
EPS(원),121,95,98,108,123
PER(배),28.70,26.90,31.60,60.64,55.80
BPS(원),"3,202","3,098","3,033","3,043","3,029"
PBR(배),1.08,0.83,1.02,2.15,2.27
현금DPS(원),100,100,100,100,100
현금배당수익률,2.89,3.91,3.23,1.53,1.45
현금배당성향(%),82.95,105.09,102.11,92.86,81.11
발행주식수(보통주),"11,563,700","11,563,700","11,563,700","11,563,700","11,563,700"
