주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,763,928,768,200,29
영업이익,125,35,-21,-63,-147
영업이익(발표기준),125,35,-21,-63,-147
세전계속사업이익,129,43,-18,-68,-128
당기순이익,104,45,-17,-59,-103
  당기순이익(지배),104,45,-17,-59,-102
  당기순이익(비지배),,,,,-1
자산총계,"1,003",985,"1,150",796,880
부채총계,647,583,588,302,444
자본총계,357,402,562,494,435
  자본총계(지배),357,402,562,494,435
  자본총계(비지배),,,,,0
자본금,20,20,24,24,71
영업활동현금흐름,169,20,64,-221,-142
투자활동현금흐름,-70,-32,-188,9,-11
재무활동현금흐름,-73,-31,137,94,135
CAPEX,6,6,5,10,1
FCF,164,14,59,-231,-143
이자발생부채,198,185,152,256,314
영업이익률,16.44,3.82,-2.68,-31.66,-502.55
순이익률,13.68,4.84,-2.16,-29.57,-351.21
ROE(%),35.06,,-3.44,-11.18,-21.95
ROA(%),11.14,,-1.55,-6.07,-12.28
부채비율,181.21,145.13,104.55,61.27,102.17
자본유보율,"1,715.18","1,939.48","2,259.00","1,971.34",505.22
EPS(원),870,374,-117,-413,-713
PER(배),,,N/A,N/A,N/A
BPS(원),"2,973","3,347","3,932","3,452","3,041"
PBR(배),0.00,0.00,1.31,2.31,4.75
현금DPS(원),0,123,67,0,0
현금배당수익률,,,1.29,0.00,0.00
현금배당성향(%),0.00,30.81,-57.56,0.00,
발행주식수(보통주),"12,000,000","12,000,000","14,296,950","14,296,950","14,296,950"
