주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,603,647,734,806,854
영업이익,51,51,56,58,61
영업이익(발표기준),51,51,56,58,61
세전계속사업이익,39,42,46,-23,51
당기순이익,31,36,39,-33,40
  당기순이익(지배),31,36,39,-33,40
  당기순이익(비지배),,,,,
자산총계,325,354,499,578,"1,070"
부채총계,220,212,332,256,238
자본총계,105,141,168,322,832
  자본총계(지배),105,141,168,322,832
  자본총계(비지배),,,,,
자본금,16,16,16,39,49
영업활동현금흐름,22,21,-11,95,30
투자활동현금흐름,-11,-4,-19,-51,-326
재무활동현금흐름,-15,-8,26,-56,389
CAPEX,7,9,23,25,104
FCF,15,12,-34,69,-74
이자발생부채,140,132,208,152,79
영업이익률,8.41,7.84,7.69,7.18,7.19
순이익률,5.17,5.59,5.32,-4.11,4.73
ROE(%),34.83,29.33,25.28,-13.54,7.00
ROA(%),10.04,10.66,9.16,-6.16,4.90
부채비율,208.59,150.02,197.70,79.34,28.67
자본유보율,537.83,757.03,916.77,736.32,"1,594.58"
EPS(원),76,89,96,-80,89
PER(배),,,,N/A,122.84
BPS(원),258,346,411,777,"1,695"
PBR(배),,,,12.21,6.46
현금DPS(원),0,0,0,0,10
현금배당수익률,,0.00,0.00,0.00,0.09
현금배당성향(%),0.00,0.00,0.00,0.00,12.15
발행주식수(보통주),"40,831,982","40,831,982","40,831,982","41,502,121","49,069,269"
