주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"1,011","1,048","1,252","1,392","1,551"
영업이익,133,57,65,76,81
영업이익(발표기준),133,57,65,76,81
세전계속사업이익,132,53,182,103,113
당기순이익,109,46,151,91,93
  당기순이익(지배),109,46,151,91,93
  당기순이익(비지배),,,,,
자산총계,756,"1,043","1,327","1,444","1,548"
부채총계,378,322,471,497,547
자본총계,377,721,857,947,"1,001"
  자본총계(지배),377,721,857,947,"1,001"
  자본총계(비지배),,,,,
자본금,38,48,48,48,142
영업활동현금흐름,95,-8,101,75,179
투자활동현금흐름,-18,-322,-112,-126,5
재무활동현금흐름,-28,278,67,-4,-37
CAPEX,8,50,84,53,43
FCF,87,-58,18,22,136
이자발생부채,150,126,228,237,243
영업이익률,13.18,5.42,5.16,5.47,5.25
순이익률,10.82,4.36,12.06,6.57,6.01
ROE(%),36.61,8.31,19.14,10.14,
ROA(%),15.53,5.08,12.74,6.60,
부채비율,100.28,44.64,54.96,52.51,54.59
자본유보율,910.10,"1,416.56","1,740.33","1,922.04",633.90
EPS(원),496,164,530,321,328
PER(배),,39.84,10.72,26.40,25.09
BPS(원),"1,671","2,535","3,027","3,346","3,571"
PBR(배),0.00,2.58,1.88,2.53,2.30
현금DPS(원),0,0,34,34,100
현금배당수익률,,0.00,0.59,0.40,1.22
현금배당성향(%),0.00,0.00,6.25,10.32,30.06
발행주식수(보통주),"22,592,994","28,464,992","28,464,992","28,464,992","28,464,992"
