주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,1,4,4,20,1
영업이익,-98,-137,-183,-249,-336
영업이익(발표기준),-98,-137,-183,-249,-336
세전계속사업이익,-96,-132,-171,-288,-296
당기순이익,-96,-132,-171,-288,-296
  당기순이익(지배),-96,-132,-171,-288,-293
  당기순이익(비지배),,,,,-3
자산총계,585,851,760,"1,055","1,137"
부채총계,74,76,132,470,417
자본총계,511,775,628,585,720
  자본총계(지배),511,775,628,585,684
  자본총계(비지배),,,,,37
자본금,33,36,37,78,84
영업활동현금흐름,-54,-102,-134,-178,-271
투자활동현금흐름,-306,-87,-181,-102,-125
재무활동현금흐름,332,373,46,521,389
CAPEX,51,30,131,57,50
FCF,-105,-133,-266,-235,-321
이자발생부채,50,50,93,243,252
영업이익률,"-7,372.36","-3,414.59","-4,484.32","-1,222.23","-45,632.96"
순이익률,"-7,204.56","-3,291.60","-4,189.82","-1,412.78","-40,214.37"
ROE(%),-24.92,,-24.42,-47.42,-46.11
ROA(%),-21.31,,-21.27,-31.69,-26.98
부채비율,14.39,9.77,20.98,80.36,57.82
자본유보율,"1,392.22","1,902.65","1,452.60",589.98,667.46
EPS(원),-876,"-1,011","-1,175","-1,914","-1,783"
PER(배),,N/A,N/A,N/A,N/A
BPS(원),"3,923","5,334","4,300","3,727","4,062"
PBR(배),0.00,8.15,7.83,10.09,5.50
현금DPS(원),0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"13,033,156","14,527,156","14,610,510","15,058,467","15,479,484"
