주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,308,430,621,"1,080","1,351"
영업이익,7,15,57,211,114
영업이익(발표기준),7,15,57,211,114
세전계속사업이익,-3,8,50,-40,116
당기순이익,-3,9,48,-78,113
  당기순이익(지배),-3,9,48,-78,113
  당기순이익(비지배),,,,,
자산총계,109,140,233,450,964
부채총계,95,117,107,214,120
자본총계,13,23,126,236,844
  자본총계(지배),13,23,126,236,844
  자본총계(비지배),,,,,
자본금,9,9,12,12,14
영업활동현금흐름,16,10,54,156,-12
투자활동현금흐름,-12,-33,-46,-88,-421
재무활동현금흐름,-1,18,13,-30,438
CAPEX,5,23,21,63,88
FCF,11,-12,33,93,-100
이자발생부채,80,101,60,46,5
영업이익률,2.18,3.55,9.23,19.48,8.46
순이익률,-1.04,2.17,7.71,-7.23,8.35
ROE(%),-21.32,51.77,64.33,-43.11,20.88
ROA(%),-2.84,7.51,25.63,-22.87,15.96
부채비율,712.86,517.00,85.08,90.32,14.20
자본유보율,87.62,190.54,992.01,"1,965.23","5,863.89"
EPS(원),-42,124,620,-857,904
PER(배),,,,,12.06
BPS(원),178,302,"1,386","2,044","5,964"
PBR(배),0.00,0.00,0.00,0.00,1.83
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"7,500,000","7,500,000","9,062,500","11,562,500","14,155,000"
