주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,334,282,128,134,210
영업이익,7,-1,5,4,20
영업이익(발표기준),7,-1,5,4,20
세전계속사업이익,-6,-19,-100,12,39
당기순이익,-7,-19,-110,12,39
  당기순이익(지배),-13,-29,-112,12,39
  당기순이익(비지배),6,10,2,,
자산총계,297,288,130,154,202
부채총계,137,105,15,19,17
자본총계,159,184,115,135,185
  자본총계(지배),193,207,115,135,185
  자본총계(비지배),-34,,,,
자본금,53,53,65,66,68
영업활동현금흐름,17,-5,-13,-44,6
투자활동현금흐름,-14,-29,14,-8,-3
재무활동현금흐름,26,-1,44,9,4
CAPEX,7,3,1,23,6
FCF,10,-8,-14,-68,0
이자발생부채,61,44,10,13,7
영업이익률,2.20,-0.23,4.28,2.72,9.53
순이익률,-2.02,-6.84,-85.85,8.76,18.58
ROE(%),-6.91,-14.67,-77.43,9.42,24.45
ROA(%),-2.18,-6.59,-63.99,8.28,21.96
부채비율,86.22,57.03,13.30,14.14,9.32
자본유보율,254.48,226.62,105.36,145.47,211.19
EPS(원),-25,-55,-174,18,58
PER(배),N/A,N/A,N/A,35.19,11.07
BPS(원),366,391,178,203,271
PBR(배),2.34,1.42,3.59,3.15,2.36
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,,0.00,0.00,
발행주식수(보통주),"52,830,995","52,830,995","64,603,964","66,340,075","68,076,186"
