주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,121,170,395,792,716
영업이익,-10,3,40,116,56
영업이익(발표기준),-10,3,40,116,56
세전계속사업이익,-4,3,47,116,55
당기순이익,-5,4,41,87,36
  당기순이익(지배),-5,4,41,87,36
  당기순이익(비지배),,,,,
자산총계,63,90,152,302,530
부채총계,41,64,84,151,114
자본총계,22,27,68,151,415
  자본총계(지배),22,27,68,151,415
  자본총계(비지배),,,,,
자본금,16,16,16,16,21
영업활동현금흐름,-9,7,21,66,11
투자활동현금흐름,12,-6,27,-4,-108
재무활동현금흐름,,,,-9,193
CAPEX,0,0,2,3,5
FCF,-10,6,19,63,7
이자발생부채,0,0,0,14,9
영업이익률,-8.54,1.77,10.24,14.68,7.82
순이익률,-4.20,2.56,10.42,11.04,5.09
ROE(%),-20.34,17.68,86.78,79.99,12.88
ROA(%),-7.88,5.67,33.94,38.55,8.76
부채비율,180.81,238.05,123.32,100.37,27.55
자본유보율,37.44,63.98,314.86,716.87,"1,707.35"
EPS(원),-155,133,"1,254","2,670","1,059"
PER(배),,,,,16.72
BPS(원),684,817,"2,074","4,600","10,080"
PBR(배),0.00,0.00,0.00,0.00,1.76
현금DPS(원),0,0,91,183,65
현금배당수익률,,,,,0.37
현금배당성향(%),0.00,0.00,7.25,6.86,7.35
발행주식수(보통주),"3,276,500","3,276,500","3,276,500","3,276,500","4,120,276"
