주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,060","1,005",725,727,828
영업이익,404,338,86,1,38
영업이익(발표기준),404,338,86,1,38
세전계속사업이익,380,359,107,-31,64
당기순이익,298,288,78,-35,77
  당기순이익(지배),298,288,82,-16,80
  당기순이익(비지배),,0,-4,-18,-2
자산총계,"1,405","1,539","1,602","1,555","1,631"
부채총계,229,149,163,173,148
자본총계,"1,176","1,390","1,439","1,381","1,483"
  자본총계(지배),"1,176","1,382","1,413","1,379","1,481"
  자본총계(비지배),,,26,2,2
자본금,50,50,51,51,51
영업활동현금흐름,384,247,149,126,123
투자활동현금흐름,-41,-240,-357,-196,-198
재무활동현금흐름,502,-81,-57,-45,-16
CAPEX,38,193,363,188,220
FCF,346,54,-215,-62,-97
이자발생부채,5,5,15,30,11
영업이익률,38.05,33.66,11.81,0.20,4.59
순이익률,28.11,28.65,10.83,-4.78,9.33
ROE(%),42.16,,5.89,-1.18,5.58
ROA(%),31.89,,5.00,-2.20,4.85
부채비율,19.48,10.74,11.31,12.55,10.00
자본유보율,"2,258.27","2,691.55","2,706.87","2,656.04","2,862.46"
EPS(원),"3,718","2,883",819,-162,785
PER(배),11.42,4.89,18.81,N/A,17.82
BPS(원),"11,844","14,083","14,240","14,188","15,088"
PBR(배),3.58,1.00,1.08,0.99,0.93
현금DPS(원),610,575,160,0,160
현금배당수익률,1.44,4.08,1.04,0.00,1.14
현금배당성향(%),20.32,19.61,19.29,0.00,19.69
발행주식수(보통주),"9,931,140","9,991,140","10,101,140","10,102,240","10,192,640"
