주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,972,"1,170","1,446",545,812,"1,801","2,165"
영업이익,81,108,143,-191,-138,106,149
영업이익(발표기준),81,108,143,-191,-138,,
세전계속사업이익,11,63,8,-421,-279,30,72
당기순이익,15,44,5,-377,-337,44,85
  당기순이익(지배),14,40,-7,-314,-274,38,70
  당기순이익(비지배),0,4,12,-62,-63,,
자산총계,"3,105","3,951","5,503","5,204","4,853","5,386","5,662"
부채총계,"1,954","2,745","3,323","3,349","3,399","3,672","3,806"
자본총계,"1,151","1,206","2,181","1,856","1,454","1,718","1,852"
  자본총계(지배),990,"1,041","1,894","1,594","1,329","1,516","1,632"
  자본총계(비지배),161,165,286,262,125,,
자본금,74,79,128,128,128,129,129
영업활동현금흐름,-118,-360,214,-88,-49,162,184
투자활동현금흐름,-420,-387,"-1,586",12,153,-226,-245
재무활동현금흐름,679,672,"1,504",2,-216,42,-18
CAPEX,406,396,93,28,50,180,190
FCF,-524,-757,121,-116,-99,-18,-6
이자발생부채,"1,594","2,180","2,753","2,844","2,718",,
영업이익률,8.28,9.26,9.89,-35.02,-16.95,5.89,6.88
순이익률,1.51,3.80,0.35,-69.10,-41.55,2.44,3.93
ROE(%),1.65,3.94,-0.50,-18.02,-18.78,2.71,4.48
ROA(%),0.55,1.26,0.11,-7.03,-6.71,0.86,1.54
부채비율,169.79,227.67,152.37,180.47,233.69,213.77,205.54
자본유보율,944.45,"1,030.63","1,354.18","1,120.84",895.90,,
EPS(원),89,233,-33,"-1,224","-1,068",150,274
PER(배),197.44,40.37,N/A,N/A,N/A,43.40,23.70
BPS(원),"6,060","5,976","7,393","6,238","5,201","5,929","6,379"
PBR(배),2.91,1.57,1.12,0.89,1.09,1.10,1.02
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"16,333,649","17,415,070","25,679,652","25,679,652","25,695,494",,
