주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,102,130,102,121,77
영업이익,10,3,-35,-10,-61
영업이익(발표기준),10,3,-35,-10,-61
세전계속사업이익,3,-4,-53,-37,-59
당기순이익,3,-4,-53,-39,-59
  당기순이익(지배),3,-4,-52,-39,-60
  당기순이익(비지배),,,-1,0,1
자산총계,92,104,78,99,348
부채총계,82,266,295,97,72
자본총계,10,-161,-217,1,276
  자본총계(지배),10,-161,-216,2,276
  자본총계(비지배),,,-1,-1,0
자본금,33,23,23,44,57
영업활동현금흐름,16,-6,-28,-7,-50
투자활동현금흐름,-2,-8,7,-3,-276
재무활동현금흐름,-12,31,6,26,306
CAPEX,3,1,1,1,1
FCF,13,-8,-29,-8,-51
이자발생부채,62,186,217,61,29
영업이익률,10.02,2.35,-34.30,-8.01,-79.27
순이익률,3.38,-3.44,-52.13,-32.00,-77.41
ROE(%),40.11,,27.68,36.12,-43.12
ROA(%),3.89,,-58.59,-43.76,-26.52
부채비율,796.15,-164.81,-135.71,"6,702.06",25.90
자본유보율,229.34,-353.37,-577.14,142.71,580.37
EPS(원),53,-68,-692,-509,-596
PER(배),,,,,N/A
BPS(원),158,"-2,135","-2,867",25,"2,414"
PBR(배),0.00,0.00,0.00,0.00,7.87
현금DPS(원),0,0,0,0,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,670,148","4,670,148","4,670,148","8,780,926","11,444,824"
