주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,224,243,247,238,288
영업이익,17,26,9,14,67
영업이익(발표기준),17,26,9,14,67
세전계속사업이익,17,26,-115,17,77
당기순이익,26,32,-118,8,39
  당기순이익(지배),26,32,-118,12,52
  당기순이익(비지배),,,0,-4,-13
자산총계,105,191,345,423,533
부채총계,22,77,62,113,180
자본총계,83,115,283,310,353
  자본총계(지배),83,115,262,268,324
  자본총계(비지배),,,20,42,29
자본금,54,54,27,27,27
영업활동현금흐름,12,60,28,32,47
투자활동현금흐름,-19,-24,-87,-33,-16
재무활동현금흐름,1,30,100,-5,10
CAPEX,6,6,8,7,3
FCF,6,55,21,26,43
이자발생부채,0,29,8,12,36
영업이익률,7.69,10.74,3.68,5.91,23.41
순이익률,11.43,13.31,-47.72,3.28,13.50
ROE(%),36.86,32.65,,4.49,17.52
ROA(%),28.13,21.80,,2.03,8.13
부채비율,26.20,66.81,21.93,36.38,51.03
자본유보율,99.65,158.78,972.36,992.04,"1,186.42"
EPS(원),109,136,-478,44,192
PER(배),,,N/A,132.69,26.22
BPS(원),351,484,980,996,"1,200"
PBR(배),,,4.68,5.90,4.20
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"23,631,266","23,720,695","26,787,117","26,881,862","26,979,634"
