주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,740","2,155","2,545","2,896","2,612","3,069","3,500","3,628"
영업이익,109,226,326,603,212,441,592,587
영업이익(발표기준),109,226,326,603,212,,,
세전계속사업이익,6,366,324,687,643,660,824,821
당기순이익,-21,335,276,622,567,523,649,647
  당기순이익(지배),-15,320,242,602,568,523,652,661
  당기순이익(비지배),-6,15,34,19,-1,,,
자산총계,"3,044","3,667","3,980","4,794","5,747","6,288","7,012","7,653"
부채총계,428,679,691,837,"1,058","1,167","1,239","1,175"
자본총계,"2,616","2,988","3,289","3,956","4,689","5,121","5,773","6,478"
  자본총계(지배),"2,626","2,985","3,230","3,875","4,593","5,024","5,672","6,358"
  자본총계(비지배),-11,,58,81,96,,,
자본금,110,110,110,110,110,110,110,110
영업활동현금흐름,91,386,370,764,287,691,773,713
투자활동현금흐름,-80,-165,-409,136,-646,-265,-144,-85
재무활동현금흐름,-2,7,-26,-34,-225,-9,-12,-20
CAPEX,30,351,16,42,10,33,33,35
FCF,61,35,354,722,277,568,653,592
이자발생부채,1,0,49,24,208,,,
영업이익률,6.25,10.47,12.80,20.83,8.13,14.38,16.90,16.19
순이익률,-1.23,15.56,10.85,21.47,21.69,17.04,18.55,17.82
ROE(%),-0.57,11.42,7.78,16.95,13.41,10.88,12.18,10.99
ROA(%),-0.69,9.99,7.22,14.17,10.75,8.69,9.76,8.82
부채비율,16.36,22.71,21.02,21.17,22.57,22.78,21.46,18.13
자본유보율,"2,963.28","3,245.99","3,449.58","4,000.70","4,501.80",,,
EPS(원),-70,"1,462","1,104","2,747","2,577","2,375","2,957","3,000"
PER(배),N/A,8.38,15.36,8.17,14.01,8.30,6.66,6.57
BPS(원),"12,403","14,029","15,121","17,983","21,629","24,105","27,215","30,504"
PBR(배),0.99,0.87,1.12,1.25,1.67,0.82,0.72,0.65
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"21,915,008","21,915,008","21,915,008","22,033,719","22,033,719",,,
