주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,342,303,344,404,404
영업이익,27,11,19,35,42
영업이익(발표기준),27,11,19,35,42
세전계속사업이익,18,11,13,29,39
당기순이익,16,10,12,25,36
  당기순이익(지배),16,10,12,25,36
  당기순이익(비지배),,,,,
자산총계,498,461,459,484,526
부채총계,179,116,104,107,118
자본총계,319,345,355,377,408
  자본총계(지배),319,345,355,377,408
  자본총계(비지배),,,,,
자본금,58,63,63,63,63
영업활동현금흐름,3,18,29,59,61
투자활동현금흐름,-8,11,-2,-9,-73
재무활동현금흐름,7,-32,-15,-14,-18
CAPEX,18,13,4,8,2
FCF,-16,5,25,51,59
이자발생부채,125,77,69,65,56
영업이익률,8.01,3.72,5.56,8.73,10.37
순이익률,4.55,3.44,3.58,6.09,9.00
ROE(%),4.89,3.14,3.52,6.71,9.26
ROA(%),3.24,2.17,2.68,5.21,7.20
부채비율,55.95,33.48,29.30,28.28,28.83
자본유보율,482.93,479.70,495.32,530.33,580.12
EPS(원),133,86,97,194,288
PER(배),38.64,43.57,68.84,52.19,27.28
BPS(원),"2,824","2,814","2,895","3,074","3,326"
PBR(배),1.82,1.34,2.32,3.30,2.36
현금DPS(원),20,20,20,40,50
현금배당수익률,0.39,0.53,0.30,0.39,0.64
현금배당성향(%),14.53,23.56,19.92,19.97,16.87
발행주식수(보통주),"11,668,434","12,641,883","12,641,883","12,641,883","12,641,883"
