주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,196,112,74,52,88
영업이익,5,-38,-44,-36,5
영업이익(발표기준),5,-38,-44,-36,5
세전계속사업이익,3,-54,-82,-67,-22
당기순이익,3,-54,-82,-67,-27
  당기순이익(지배),3,-54,-82,-67,-27
  당기순이익(비지배),,,,,
자산총계,290,248,284,255,575
부채총계,118,67,64,20,247
자본총계,173,182,220,236,328
  자본총계(지배),173,182,220,236,328
  자본총계(비지배),,,,,
자본금,125,135,152,163,186
영업활동현금흐름,-33,-9,-34,-13,-61
투자활동현금흐름,4,-10,-113,84,-381
재무활동현금흐름,80,28,116,-7,321
CAPEX,0,2,2,0,1
FCF,-33,-11,-35,-13,-62
이자발생부채,79,49,52,5,150
영업이익률,2.67,-33.93,-59.57,-70.02,6.07
순이익률,1.77,-48.06,-111.26,-129.25,-30.49
ROE(%),2.56,-30.52,-40.90,,-9.56
ROA(%),1.42,-20.07,-30.88,,-6.53
부채비율,68.26,36.64,28.99,8.36,75.28
자본유보율,151.04,138.92,142.42,117.00,151.69
EPS(원),14,-206,-286,-213,-78
PER(배),400.27,N/A,N/A,N/A,N/A
BPS(원),690,673,723,723,881
PBR(배),8.15,6.64,4.00,1.99,1.83
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"25,024,595","26,993,204","30,412,379","32,590,313","37,225,728"
