주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,062","1,037",394,481,465,"1,079","1,287"
영업이익,10,-24,-21,17,10,119,138
영업이익(발표기준),10,-24,-21,17,10,,
세전계속사업이익,2,-85,-56,-21,-2,114,133
당기순이익,2,-84,-107,87,-2,92,108
  당기순이익(지배),-11,-82,-83,95,-2,92,108
  당기순이익(비지배),13,-2,-24,-8,,,
자산총계,"1,063","1,026","1,084",701,636,781,915
부채총계,278,258,403,284,179,230,236
자본총계,785,768,680,416,456,551,679
  자본총계(지배),484,513,436,416,456,551,679
  자본총계(비지배),301,,245,,,,
자본금,77,85,85,85,91,91,91
영업활동현금흐름,345,212,233,63,75,56,136
투자활동현금흐름,-215,-424,-446,-130,-122,48,46
재무활동현금흐름,3,56,135,-12,8,-11,-11
CAPEX,13,8,17,1,11,15,15
FCF,332,204,216,62,64,12,90
이자발생부채,10,0,149,133,40,,
영업이익률,0.93,-2.33,-5.43,3.47,2.18,11.03,10.72
순이익률,0.15,-8.13,-27.20,18.16,-0.51,8.52,8.39
ROE(%),-2.22,-16.51,-17.44,22.42,-0.54,18.26,17.56
ROA(%),0.15,-8.07,-10.16,9.80,-0.35,12.99,12.74
부채비율,35.40,33.52,59.32,68.33,39.26,41.74,34.76
자본유보율,479.04,538.95,437.14,549.48,686.76,,
EPS(원),-71,-510,-485,559,-13,477,552
PER(배),N/A,N/A,N/A,20.74,N/A,20.66,17.85
BPS(원),"3,126","3,009","2,552","2,440","2,519","2,820","3,475"
PBR(배),3.61,4.39,4.74,4.75,5.10,3.50,2.84
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,
발행주식수(보통주),"15,490,694","17,035,125","17,071,366","17,071,366","18,127,998",,
