주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,516","3,773","3,786","2,108","2,328","3,230","4,497"
영업이익,-145,132,27,-614,-355,176,466
영업이익(발표기준),-145,132,27,-614,-355,,
세전계속사업이익,-555,18,-118,-767,-326,170,465
당기순이익,-556,12,-97,-831,-317,157,405
  당기순이익(지배),-547,31,-92,-831,-317,163,420
  당기순이익(비지배),-9,-19,-5,0,-1,,
자산총계,"3,735","4,321","3,805","3,530","3,827","4,284","4,510"
부채총계,"3,064","3,512","2,914","2,815","3,124","3,440","3,260"
자본총계,671,809,891,715,703,844,"1,250"
  자본총계(지배),623,782,884,717,706,846,"1,267"
  자본총계(비지배),48,,7,-2,-4,,
자본금,147,171,194,229,242,243,243
영업활동현금흐름,-325,216,83,-320,-426,539,897
투자활동현금흐름,-189,-109,20,-300,-91,-396,-109
재무활동현금흐름,310,-144,-107,713,406,5,-100
CAPEX,158,184,306,243,55,91,116
FCF,-483,32,-223,-563,-480,399,783
이자발생부채,"2,213","1,929","1,816","1,934","2,166",,
영업이익률,-4.11,3.49,0.72,-29.11,-15.23,5.45,10.36
순이익률,-15.80,0.33,-2.56,-39.45,-13.64,4.86,9.01
ROE(%),-61.18,4.40,-11.08,-103.89,-44.53,21.00,39.75
ROA(%),-13.77,0.31,-2.39,-22.67,-8.63,3.87,9.21
부채비율,456.86,433.92,326.85,393.70,444.55,407.58,260.80
자본유보율,338.77,368.25,359.06,211.75,169.88,,
EPS(원),"-1,926",96,-247,"-1,977",-669,336,866
PER(배),N/A,53.28,N/A,N/A,N/A,32.74,12.71
BPS(원),"2,152","2,314","2,294","1,578","1,466","1,755","2,629"
PBR(배),2.30,2.20,3.54,17.21,10.30,6.27,4.18
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"29,309,379","34,120,954","38,858,022","40,957,928","43,723,601",,
