주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,658","4,799","4,982","5,395","6,695","9,750","13,189"
영업이익,411,534,453,510,"1,047","1,677","2,248"
영업이익(발표기준),411,534,453,510,"1,047",,
세전계속사업이익,257,342,235,113,862,"1,591","2,139"
당기순이익,177,216,145,36,643,"1,225","1,647"
  당기순이익(지배),64,14,-24,-167,228,576,"1,477"
  당기순이익(비지배),112,202,169,203,415,,
자산총계,"5,200","6,049","7,067","7,648","10,304","12,436","15,370"
부채총계,"3,383","3,987","4,702","5,181","5,986","7,747","8,851"
자본총계,"1,817","2,062","2,365","2,467","4,318","4,689","6,519"
  자본총계(지배),"1,317","1,339","1,450","1,379","2,583","2,600","4,286"
  자본총계(비지배),489,,915,"1,088","1,735",,
자본금,112,114,138,153,240,160,160
영업활동현금흐름,384,449,719,828,"1,492","1,558","2,032"
투자활동현금흐름,-999,"-1,172","-1,307","-1,256","-1,843",-954,-950
재무활동현금흐름,614,715,633,853,"1,059","1,617",313
CAPEX,865,"1,211","1,170","1,087","1,786",935,"1,004"
FCF,-481,-762,-451,-259,-294,537,961
이자발생부채,"2,398","3,124","3,751","4,298","4,144",,
영업이익률,11.22,11.13,9.08,9.46,15.64,17.20,17.04
순이익률,4.83,4.51,2.91,0.67,9.60,12.56,12.49
ROE(%),5.09,1.05,-1.70,-11.81,11.49,22.23,42.90
ROA(%),3.80,3.85,2.21,0.49,7.16,10.77,11.85
부채비율,186.15,193.28,198.87,209.97,138.61,165.22,135.77
자본유보율,842.82,876.28,849.87,752.88,"1,101.74",,
EPS(원),229,49,-76,-448,567,"1,202","3,082"
PER(배),18.72,61.63,N/A,N/A,35.79,15.18,5.92
BPS(원),"4,794","4,800","4,252","3,644","5,390","5,426","8,944"
PBR(배),0.90,0.63,1.05,2.50,3.77,3.36,2.04
현금DPS(원),0,48,40,0,,0,0
현금배당수익률,0.00,1.58,0.89,0.00,,0.00,0.00
현금배당성향(%),0.00,95.11,-57.20,0.00,,,
발행주식수(보통주),"27,998,199","28,444,549","34,637,330","38,379,950","47,921,854",,
