주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,611","1,337","1,370","1,137","1,285"
영업이익,47,-6,-148,-181,-126
영업이익(발표기준),47,-6,-148,-181,-126
세전계속사업이익,2,-21,-209,-276,-179
당기순이익,3,-17,-170,-299,-180
  당기순이익(지배),3,-17,-170,-299,-180
  당기순이익(비지배),,,,,
자산총계,"2,045","2,207","2,250","1,881","1,887"
부채총계,"1,085","1,243","1,285","1,135","1,318"
자본총계,960,964,966,746,569
  자본총계(지배),960,964,966,746,569
  자본총계(비지배),,,,,
자본금,127,136,141,154,154
영업활동현금흐름,49,-105,-143,95,6
투자활동현금흐름,-11,-57,-35,0,39
재무활동현금흐름,-103,149,127,-84,-15
CAPEX,29,40,13,10,13
FCF,20,-144,-156,86,-7
이자발생부채,696,832,996,901,899
영업이익률,2.93,-0.48,-10.78,-15.89,-9.78
순이익률,0.21,-1.25,-12.40,-26.30,-13.99
ROE(%),0.36,-1.74,-17.61,-34.92,-27.35
ROA(%),0.16,-0.79,-7.62,-14.47,-9.54
부채비율,113.00,129.02,132.99,152.14,231.72
자본유보율,799.96,759.39,626.42,427.89,312.08
EPS(원),14,-62,-614,"-1,022",-585
PER(배),288.44,N/A,N/A,N/A,N/A
BPS(원),"4,025","3,887","3,751","2,686","2,048"
PBR(배),0.97,0.77,0.63,0.73,0.97
현금DPS(원),50,50,0,0,
현금배당수익률,1.28,1.68,0.00,0.00,
현금배당성향(%),356.77,-74.01,0.00,0.00,
발행주식수(보통주),"25,301,367","27,220,484","28,174,319","30,734,609","30,734,609"
