주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"1,628","1,298","1,682","1,669","3,045","3,694"
영업이익,223,104,219,182,464,578
영업이익(발표기준),223,104,219,182,464,
세전계속사업이익,187,115,230,168,486,591
당기순이익,158,103,180,155,390,474
  당기순이익(지배),153,96,179,158,377,459
  당기순이익(비지배),5,7,1,-3,12,
자산총계,"1,024","1,050","1,368","1,418","2,062","2,619"
부채총계,241,192,334,281,549,660
자본총계,783,858,"1,033","1,137","1,514","1,959"
  자본총계(지배),740,810,993,"1,106","1,459","1,890"
  자본총계(비지배),43,,40,31,54,
자본금,47,47,47,47,47,47
영업활동현금흐름,180,23,193,196,256,659
투자활동현금흐름,-115,-69,-45,-37,-194,-19
재무활동현금흐름,4,-28,-10,-53,-1,-15
CAPEX,133,81,23,18,116,20
FCF,47,-58,171,177,139,412
이자발생부채,40,53,62,53,72,
영업이익률,13.67,8.01,13.02,10.88,15.24,15.65
순이익률,9.68,7.94,10.68,9.28,12.80,12.83
ROE(%),23.25,12.42,19.83,15.06,29.42,27.41
ROA(%),16.43,9.93,14.86,11.12,22.39,20.25
부채비율,30.82,22.40,32.37,24.70,36.26,33.69
자본유보율,"1,503.43","1,685.83","2,077.59","2,363.23","3,138.16",
EPS(원),"1,642","1,033","1,918","1,696","4,051","4,926"
PER(배),7.52,4.30,5.32,10.14,9.29,5.86
BPS(원),"8,194","9,108","11,164","12,522","16,558","21,443"
PBR(배),1.51,0.49,0.91,1.37,2.27,1.35
현금DPS(원),100,0,200,150,300,300
현금배당수익률,0.81,0.00,1.96,0.87,0.80,1.04
현금배당성향(%),5.90,0.00,9.95,8.38,7.01,6.09
발행주식수(보통주),"9,317,745","9,317,745","9,317,745","9,317,745","9,317,745",
