주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,210,126,542,293,329,908,"1,104"
영업이익,-2,-38,2,-2,68,148,183
영업이익(발표기준),-2,-38,2,-2,68,,
세전계속사업이익,7,-31,7,-10,66,147,182
당기순이익,7,-31,7,-10,64,120,137
  당기순이익(지배),8,-31,7,-10,64,120,137
  당기순이익(비지배),-1,0,0,0,0,,
자산총계,441,548,433,380,808,592,735
부채총계,54,203,84,58,367,93,99
자본총계,386,345,349,322,441,499,636
  자본총계(지배),386,345,349,322,441,499,636
  자본총계(비지배),0,,0,0,0,,
자본금,86,86,86,86,86,86,86
영업활동현금흐름,43,-51,66,17,-35,110,157
투자활동현금흐름,1,106,-97,-31,-92,-41,-39
재무활동현금흐름,-10,-7,-3,-17,143,2,0
CAPEX,2,0,3,2,155,30,40
FCF,40,-52,63,14,-189,69,118
이자발생부채,0,0,2,4,75,,
영업이익률,-0.85,-29.88,0.32,-0.71,20.50,16.35,16.58
순이익률,3.38,-24.44,1.33,-3.28,19.46,13.21,12.41
ROE(%),1.97,-8.39,2.08,-2.86,16.79,25.53,24.14
ROA(%),1.59,-6.21,1.47,-2.36,10.79,17.14,20.65
부채비율,14.03,58.81,24.04,17.91,83.19,18.64,15.57
자본유보율,379.88,345.38,352.86,341.78,451.09,,
EPS(원),18,-72,17,-22,148,278,317
PER(배),75.22,N/A,91.00,N/A,20.71,15.25,13.36
BPS(원),960,868,876,835,"1,114","1,260","1,606"
PBR(배),1.41,1.67,1.74,2.61,2.76,3.36,2.64
현금DPS(원),0,0,0,0,,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"42,857,933","42,967,933","43,047,933","43,172,933","43,172,933",,
